product url,product title,price,reviews,rating
https://www.daraz.pk/products/microfiber-multi-color-towel-for-car-cleaning-good-quality-4040-cm-i167912025-s1337000329.html?search=1,Microfiber Multi-color Towel for car cleaning good quality 40*40 cm,Rs. 201,(62), 4.5
https://www.daraz.pk/products/wbm-multicolor-microfiber-towel-top-quality-car-cleaning-and-polishing-cloth-size-9898-inch-duster-for-car-cleaner-duster-dust-cloth-i170984444-s1341284927.html?search=1,"WBM Multicolor Microfiber Towel (3 Pcs) - Top Quality Car Cleaning and Polishing Cloth,Double Side - Size: 9.8*9.8 Inch",Rs. 149,(338), 4.6
https://www.daraz.pk/products/maxima-top-quality-microfiber-grey-size-40cmx40cm-i110378819-s1261242899.html?search=1,MAXIMA TOP QUALITY MICROFIBER - GREY - SIZE 40cmX40cm,Rs. 138,(204), 5.0
https://www.daraz.pk/products/maxima-top-quality-microfiber-brown-size-40cmx40cm-i110382631-s1261258038.html?search=1,MAXIMA TOP QUALITY MICROFIBER - BROWN - SIZE 40cmX40cm,Rs. 133,(184), 4.8
https://www.daraz.pk/products/microfiber-multi-color-car-cleaning-amp-polishing-cloth-sizes40cm70cm-100-new-and-high-quality-i147410466-s1310600544.html?search=1,Microfiber Multi Color Car Cleaning & Polishing Cloth Sizes:40cm*70cm 100% new and high quality,Rs. 175,(46), 4.9
https://www.daraz.pk/products/universal-car-front-wind-screen-protector-sunshade-foil-foldable-high-quality-for-all-cars-4x4-i213568920-s1422104575.html?search=1,Universal Car Front Wind Screen Protector Sunshade Foil & Foldable High Quality For All Cars & 4X4,Rs. 287,(4), 4.6
https://www.daraz.pk/products/wbm-multicolor-microfiber-towel-top-quality-car-cleaning-and-polishing-cloth-size-9898-inch-duster-for-car-cleaner-duster-dust-cloth-i170968845-s1341296344.html?search=1,WBM Multicolor Microfiber Towel (3 Pcs) -  Double Side - Size: 9.8*9.8 Inch,Rs. 169,(32), 4.6
https://www.daraz.pk/products/dextro-car-microfiber-cloth-multi-color-one-piece-size-25x12-cm-i109526345-s1259870133.html?search=1,Dextro CAR MICROFIBER CLOTH Multi Color One Piece Size 25x12 cm,Rs. 139,(140), 4.6
https://www.daraz.pk/products/yuri-micro-fiber-cloth-unstitched-edges-for-car-i203206143-s1402748835.html?search=1,YURI Micro Fiber Cloth Unstitched Edges for car,Rs. 339,(5), 4.4
https://www.daraz.pk/products/micro-fiber-cleaning-cloth-double-side-yellow-and-gray-use-for-car-bike-kitchen-and-other-home-appliances-i182274521-s1363724555.html?search=1,Micro Fiber Cleaning Cloth Double Side Yellow And Gray - Use for Car Bike Kitchen and Other Home Appliances,Rs. 285,(134), 4.5
https://www.daraz.pk/products/windscreen-sun-shade-aluminum-foil-for-car-windshield-foil-for-car-i122724345-s1279244850.html?search=1,Windscreen Sun Shade Aluminum Foil for Car Windshield Foil For Car,Rs. 223,(37), 4.4
https://www.daraz.pk/products/microfiber-towel-for-car-cleaning-3040-cm-i133598678-s1294007467.html?search=1,Microfiber Towel for car cleaning good quality 30*40 cm,Rs. 190,(107), 4.3
https://www.daraz.pk/products/imported-100-pure-copper-winding-portable-electric-air-blower-vacuum-cleaner-double-function-dust-blower-dust-vacuum-cleaner-electric-blower-compressor-pump-with-dust-bag-i3580602-s1261696165.html?search=1,Imported 100% Pure Copper Winding Portable Electric Air Blower Vacuum Cleaner Double Function Dust Blower & Dust Vacuum Cleaner Electric Blower Compressor Pump With Dust Bag,"Rs. 1,685",(701), 4.6
https://www.daraz.pk/products/car-dashboard-cover-carpet-for-suzuki-alto-2019-black-i112996710-s1264654553.html?search=1,Specifications of Car Dashboard Cover Carpet For Suzuki Alto 2019 - Black,Rs. 450,(29), 4.8
https://www.daraz.pk/products/pack-of-3-micro-fiber-cleaning-cloth-double-side-yellow-and-gray-use-for-car-bike-kitchen-and-other-home-appliances-i185038322-s1370170644.html?search=1,Pack of 3 Micro Fiber Cleaning Cloth Double Side Yellow And Gray - Use for Car Bike Kitchen and Other Home Appliances,Rs. 827,(63), 4.6
https://www.daraz.pk/products/deals-car-sun-shades-for-suzuki-mehran-original-size-black-4pcs-i100813200-s1246186276.html?search=1,DEALS Car Sun Shades For Suzuki Mehran - Original Size - Black - 4pcs,Rs. 475,(33), 4.9
https://www.daraz.pk/products/sun-shades-for-alto-660cc-with-logo-i143390943-s1304406460.html?search=1,Sun Shades for Alto 660CC with logo,Rs. 390,(12), 4.9
https://www.daraz.pk/products/maxima-pack-of-5-micro-fiber-40cm-x-40cm-i110376946-s1261250987.html?search=1,MAXIMA PACK OF 5 MICRO FIBER 40cm x 40cm,"Rs. 1,500",(32), 4.9
https://www.daraz.pk/products/armor-all-microfibre-cleaning-cloths-6pcs-per-pack-high-quality-i154768562-s1320020530.html?search=1,Armor All Microfibre cleaning cloths 6PCS PER PACK High Quality,Rs. 899,(6), 4.2
https://www.daraz.pk/products/suzuki-mehrans-car-deal-of-3-carpet-floor-mats-5pc-sun-shade-silver-1pc-window-curtains-sun-shades-black-4pc-i200430533-s1398472121.html?search=1,"SUZUKI MEHRANS CAR DEAL OF 3 CARPET FLOOR MATS 5PC ,SUN SHADE SILVER 1PC ,WINDOW CURTAINS SUN SHADES BLACK 4PC",Rs. 995,(11), 4.6
https://www.daraz.pk/products/micro-fiber-cloth-for-cars-40x60-cm-microfiber-by-motorcars-official-i212192114-s1419926529.html?search=1,Micro Fiber Cloth for Cars 40x60 cm - Microfiber by Motorcars Official,Rs. 499,(11), 4.8
https://www.daraz.pk/products/microfiber-towel-for-car-cleaning-size-3040-cm-i193924468-s1388058226.html?search=1,Microfiber Towel for car cleaning Size: 30*40 cm,Rs. 199,(1), 4.5
https://www.daraz.pk/products/microfiber-multi-color-car-cleaning-polishing-cloth-sizes40cm70cm-approx-i140870292-s1300914905.html?search=1,Microfiber Multi Color Car Cleaning & Polishing Cloth Sizes:40cm*70cm 100% new and good quality,Rs. 165,(24), 5.0
https://www.daraz.pk/products/microfiber-cleaning-cloth-towel-gray-and-yellow-color-microfiber-cloth-for-car-bike-kitchen-and-home-cleaning-purpose-i202132144-s1401312599.html?search=1,"Microfiber Cleaning cloth / towel – Gray and Yellow Color Microfiber Cloth for car, bike, kitchen and home cleaning Purpose",Rs. 240,(42), 4.5
https://www.daraz.pk/products/micro-fiber-cleaning-cloth-pack-of-1-40cm-x-40cm-i200064875-s1397912127.html?search=1,Micro Fiber Cleaning Cloth - Pack Of 1 - 40cm x 40cm,Rs. 140,(37), 4.4
https://www.daraz.pk/products/microfibre-towel-yellow-grey-i145016215-s1306838360.html?search=1,Microfibre Towel Yellow & Grey,Rs. 259,(5), 4.8
https://www.daraz.pk/products/microfiber-towel-4040-cm-cleaner-duster-wipe-wax-for-car-care-double-side-i145906420-s1308346490.html?search=1,Microfiber Towel 40*40 cm  | cleaner duster & wipe wax for car care  double side,Rs. 279,(200), 4.9
https://www.daraz.pk/products/acquila-microfiber-cloth-for-car-detailing-800-gsm-coral-fleece-plush-towel-i209860884-s1416532602.html?search=1,ACQUILA Microfiber cloth for car detailing 800 GSM Coral Fleece Plush Towel,Rs. 300,(25), 4.5
https://www.daraz.pk/products/kia-picanto-2019-to-2021-sun-shades-car-windows-curtains-4-pieces-with-picanto-logo-foldable-jet-black-i212772606-s1421000162.html?search=1,"Kia Picanto 2019 to 2021 Sun Shades Car Windows Curtains 4 pieces With Picanto Logo, Foldable, Jet Black",Rs. 569,(4), 4.9
https://www.daraz.pk/products/microfiber-multi-color-towel-for-car-cleaning-good-quality-4040-cm-i147398945-s1310594505.html?search=1,Microfiber Multi-color Towel for car cleaning good quality 40*40 cm,Rs. 225,(5), 4.5
https://www.daraz.pk/products/pack-of-3-microfiber-towel-4040-cm-800gsm-cleaner-duster-wipe-wax-for-car-care-double-side-i212556157-s1420638075.html?search=1,PACK OF 3 Microfiber Towel 40*40 cm | 800GSM cleaner duster & wipe wax for car care double side,Rs. 788,(10), 5.0
https://www.daraz.pk/products/maxima-extra-plushed-microfiber-cloths-bundle-of-5-30cm-x-60cm-i192978788-s1386046034.html?search=1,MAXIMA EXTRA PLUSHED MICROFIBER CLOTHS BUNDLE OF 5 - 30CM X 60CM,Rs. 899,(22), 4.8
https://www.daraz.pk/products/universal-car-wind-screen-curtain-front-foil-curtain-silver-i135656548-s1296032255.html?search=1,Universal Car Wind Screen Curtain Front Foil Curtain Silver,Rs. 299,(33), 4.3
https://www.daraz.pk/products/deal-of-2-car-windshield-sun-shade-and-neck-rest-headrest-pair-black-universal-for-all-cars-i133921302-s1294310238.html?search=1,DEAL OF 2 -CAR WINDSHIELD SUN SHADE AND NECK REST HEADREST PAIR BLACK (UNIVERSAL FOR ALL CARS),Rs. 395,(15), 4.7
https://www.daraz.pk/products/microfiber-cloth-i181418146-s1361054030.html?search=1,Microfiber Cloth,Rs. 240,(67), 4.9
https://www.daraz.pk/products/maxima-top-quality-microfiber-blue-size-40cmx40cm-i110372792-s1261246616.html?search=1,MAXIMA TOP QUALITY MICROFIBER - BLUE - SIZE 40cmX40cm,Rs. 155,(82), 4.7
https://www.daraz.pk/products/micro-fiber-cleaning-cloth-pack-of-5-multi-color-i100969856-s1246402386.html?search=1,Micro Fiber Cleaning Cloth - Pack Of 5 - Multi Color,Rs. 350,(70), 4.7
https://www.daraz.pk/products/maxima-microfiber-towel-40x40cm-600gsm-i212536905-s1420614804.html?search=1,MAXIMA MICROFIBER TOWEL 40X40CM 600GSM,Rs. 195,(14), 4.2
https://www.daraz.pk/products/2pc-universal-car-side-window-curtain-foldable-sun-shade-blinds-i142260608-s1302532732.html?search=1,2Pc Universal Car Side Window Curtain Foldable Sun Shade Blinds,Rs. 299,(6), 4.7
https://www.daraz.pk/products/imported-100-pure-copper-winding-portable-electric-air-blower-vacuum-cleaner-double-function-dust-blower-dust-vacuum-cleaner-electric-blower-compressor-pump-with-dust-bag-i2114011-s10162663.html?search=1,Imported 100% Pure Copper Winding Portable Electric Air Blower Vacuum Cleaner Double Function Dust Blower & Dust Vacuum Cleaner Electric Blower Compressor Pump With Dust Bag,"Rs. 1,950",(32), 4.2
https://www.daraz.pk/products/microfiber-multi-color-towel-for-car-cleaning-good-quality-4040-cm-i167912025-s1337000329.html?search=1,Microfiber Multi-color Towel for car cleaning good quality 40*40 cm,Rs. 201,(62), 4.5
https://www.daraz.pk/products/microfiber-multi-color-towel-for-car-cleaning-good-quality-4040-cm-i167912025-s1337000329.html?search=1,Microfiber Multi-color Towel for car cleaning good quality 40*40 cm,Rs. 201,(62), 4.5
https://www.daraz.pk/products/microfiber-multi-color-towel-for-car-cleaning-good-quality-4040-cm-i167912025-s1337000329.html?search=1,Microfiber Multi-color Towel for car cleaning good quality 40*40 cm,Rs. 201,(62), 4.4
https://www.daraz.pk/products/microfiber-multi-color-towel-for-car-cleaning-good-quality-4040-cm-i167912025-s1337000329.html?search=1,Microfiber Multi-color Towel for car cleaning good quality 40*40 cm,Rs. 201,(62), 4.5
