product url,product title,price,reviews,rating
https://www.daraz.pk/products/pack-of-2-100-original-rechargeable-camelion-hlockbox-battery-aa-2700mah-2-cell-pack-pre-charged-with-battery-storage-box-for-high-drain-devices-toys-shavers-gaming-controls-camera-flashlight-microphones-i177722350-s1354004883.html?search=1,"Pack Of 2 - 100% Original Rechargeable Camelion HLOCKBOX Battery AA 2700Mah 2 Cell Pack pre-Charged with Battery Storage Box for high Drain Devices, Toys, shavers, Gaming Controls, Camera Flashlight, Microphones",Rs. 599,(58), 4.7
https://www.daraz.pk/products/btl-camelion-aaa-rechargeable-batterycells-1100mah-2-cells-i203664718-s1403810260.html?search=1,BTL-Camelion AAA Rechargeable Battery/cells 1100mAh  2 cells,Rs. 539,(25), 4.4
https://www.daraz.pk/products/pack-of-2-aaaa-cell-energizer-i130282084-s1290108663.html?search=1,Pack of 2 - AAAA Cell Energizer,Rs. 999,(9), 4.3
https://www.daraz.pk/products/6-x-camelion-15v-ag13-lr44-alkaline-batteries-button-cells-for-calculators-watches-camera-303-357-battery-i133209822-s1293522281.html?search=1,6 x CAMELION 1.5V AG13 LR44 ALKALINE Batteries BUTTON CELLS FOR CALCULATORS WATCHES CAMERA / 303 / 357 / Battery,Rs. 149,(78), 4.5
https://www.daraz.pk/products/power-alkaline-aaa-lr03-15v-extra-heavy-duty-battery-cells-i175632574-s1348600812.html?search=1,Power Alkaline AAA LR03 1.5V Extra Heavy Duty Battery Cells,Rs. 49,(49), 4.9
https://www.daraz.pk/products/energizer-ch2pc2-battery-charger-for-aaa-aa-batteries-i141762237-s1301850293.html?search=1,Energizer CH2PC2 Battery Charger For AAA / AA Batteries,Rs. 499,(60), 4.6
https://www.daraz.pk/products/energizer-2x-aa-rechargeable-cell-battery-2500mah-i137158866-s1297322088.html?search=1,Energizer 2x AA Rechargeable Cell Battery 2500mah,Rs. 499,(74), 4.4
https://www.daraz.pk/products/outdoor-small-dslr-digital-camera-video-backpack-water-resistant-multi-functional-breathable-camera-bags-i177242117-s1352598332.html?search=1,Outdoor Small DSLR Digital Camera Video Backpack Water-resistant Multi-functional Breathable Camera Bags,"Rs. 1,299",(30), 4.3
https://www.daraz.pk/products/mini-portable-flexible-octopus-stand-gorilla-pod-stabilizer-for-cameras-mobiles-dslr-camera-with-phone-holder-i131022566-s1290933586.html?search=1,"Mini Portable Flexible Octopus Stand Gorilla Pod & Stabilizer for Cameras, Mobiles & DSLR Camera With Phone Holder",Rs. 179,(53), 4.7
https://www.daraz.pk/products/18650-battery-cell-37v-4000-mah-lithium-ion-cellbutton-top-battery-for-all-electric-devices-rechargeable-cell-for-torch-10-cells-pack-with-case-i209618114-s1416040339.html?search=1,18650 Battery Cell - 3.7V - 4000 mAh Lithium Ion Cell/Button-Top Battery - For all electric Devices / Rechargeable Cell for Torch / 10 Cells Pack with Case,"Rs. 1,999",(2), 5.0
https://www.daraz.pk/products/2-charger-for-4pcs-aa-aaa-rechargeable-cell-4-cell-at-a-time-i181220383-s1360602075.html?search=1,2 Charger for 4pcs AA & AAA Rechargeable cell 4 cell At a Time,Rs. 490,(33), 4.5
https://www.daraz.pk/products/super-heavy-duty-cell-9v-battery-i133816239-s1294203991.html?search=1,Super Heavy Duty Cell 9v Battery,Rs. 99,(40), 4.9
https://www.daraz.pk/products/selfie-bluetooth-remote-shutter-bluetooth-wireless-remote-for-iphone-and-android-i131614460-s1291565158.html?search=1,Selfie Bluetooth Remote Shutter Bluetooth Wireless Remote For Iphone And Android,Rs. 299,(30), 4.6
