product url,product title,price,reviews,rating
https://www.daraz.pk/products/jm-jadoon-7-feet-tripod-stand-with-26-cm-selfie-ring-light-mobile-phone-holder-for-tiktok-videos-best-quality-metal-tripod-tiktok-light-photography-kit-i192526518-s1384926529.html?search=1,JM Jadoon 7 Feet Tripod Stand with 26 CM Selfie Ring Light & Mobile Phone Holder for Tiktok Videos Best Quality Metal Tripod Tiktok Light - Photography Kit,"Rs. 1,460",(139), 4.5
https://www.daraz.pk/products/universal-smartphone-mini-flexible-tripod-stand-handle-grip-for-iphone-huawei-xiaomi-gopro-camera-dslr-i182274446-s1363706534.html?search=1,Universal Smartphone Mini Flexible Tripod Stand Handle Grip For iPhone Huawei Xiaomi GoPro Camera DSLR,Rs. 199,(256), 4.6
https://www.daraz.pk/products/26cm-ring-light-with-75ft-metal-tripod-stand-and-mobile-phone-holder-i192290449-s1384516175.html?search=1,26cm Ring Light With 7.5ft Metal Tripod Stand And Mobile Phone Holder.,"Rs. 1,480",(109), 5.0
https://www.daraz.pk/products/26cm-ringlight-with-7feet-stand-and-phone-holder-3-shades-of-colours-ring-light-with-stand-ringlight-with-stand-photography-dimmable-selfie-makeup-ring-light-video-led-fill-ring-lamp-with-phone-holder-usb-plug-i184306037-s1368438130.html?search=1,26cm RingLight With 7Feet Stand And Phone Holder & 3 Shades of Colours Ring Light With Stand. Ringlight With Stand Photography Dimmable Selfie Makeup Ring Light Video LED Fill Ring Lamp with Phone Holder USB Plug.,"Rs. 1,648",(428), 4.2
https://www.daraz.pk/products/enrg-mini-size-tripod-stand-movable-ball-head-and-mobile-holder-for-mobile-phone-dslr-cameras-black-i167636520-s1336476709.html?search=1,ENRG Mini Size Tripod Stand Movable Ball Head and Mobile Holder for Mobile Phone DSLR Cameras - Black,Rs. 495,(175), 4.6
https://www.daraz.pk/products/enrg-ufo-flexible-octopus-tripod-for-smartphone-vlogging-dslr-camera-black-i139420984-s1299406016.html?search=1,"ENRG Flexible Tripod UFO Stand For Portable Camera, Vlog Mobile Phone Tripod for iPhone with Smartphone Tripod Mount, For DSLR",Rs. 975,(189), 4.7
https://www.daraz.pk/products/enrg-35ft-mobile-phone-tripod-stand-with-mobile-phone-holder-portable-for-live-stream-videovloggingtiktok-silver-i180050530-s1358628645.html?search=1,"ENRG 3.5ft Mobile Phone Tripod Stand with Mobile Phone Holder Portable for Live Stream Video,Vlogging,Tiktok - Silver",Rs. 799,(249), 4.7
https://www.daraz.pk/products/ring-light-tripod-stand-7ft-mobile-tripod-with-26cm-selfie-ring-light-ring-light-with-stand-led-10-brightness-level-3-mode-ring-light-for-youtube-tiktok-makeup-dslr-stand-mobile-stand-camera-accessories-black-i217005218-s1427109054.html?search=1,"Ring Light + Tripod stand - 7ft, Mobile Tripod, with 26cm Selfie Ring Light - Ring Light with stand – LED, 10 brightness level, 3 Mode - Ring Light for YouTube, Tiktok, makeup - DSLR stand – Mobile stand, Camera Accessories - Black","Rs. 1,599",(49), 4.3
https://www.daraz.pk/products/sakura-binoculars-telescope30x60-high-power-high-definition-infrared-low-light-vision-binoculars-10-times-the-telescope-outdoor-i202242663-s1401500404.html?search=1,Sakura binoculars telescope30X60 high-power high-definition infrared low light night vision binoculars 10 times the night telescope outdoor,"Rs. 1,037",(33), 4.7
https://www.daraz.pk/products/26cm-ring-light-with-mobile-holder-stand-holder-and-7ft-stand-ringlight-with-7-feet-stand-three-colours-makeup-led-ringlight-with-tripod-stand-dimmable-selfie-ringlight-with-usb-for-videography-and-photography-i210636792-s1417692542.html?search=1,"26cm Ring Light with Mobile Holder, Stand Holder and 7ft Stand, RingLight with 7 Feet Stand, Three Colours Makeup LED RingLight with Tripod Stand, Dimmable Selfie RingLight with USB for Videography and Photography","Rs. 1,355",(129), 4.2
https://www.daraz.pk/products/217ft-aluminium-tripod-stand-adjustable-portable-7-feet-with-mobile-phone-holder-for-mobile-phonedslr-and-ring-light-black-i169652176-s1339372296.html?search=1,2.1/7ft Aluminium Tripod Stand Adjustable Portable 7 Feet With Mobile Phone Holder For Mobile Phone/DSLR and Ring Light - Black,Rs. 620,(420), 4.8
https://www.daraz.pk/products/unique-collections-mini-universal-octopus-style-legs-portable-and-flexible-tripod-stand-with-clip-bracket-mount-holder-for-android-mobiles-iphones-i201824493-s1424067304.html?search=1,Unique collection's Mini Universal Octopus Style Legs Portable and flexible Tripod Stand With Clip Bracket Mount Holder for Android mobiles & iPhones,Rs. 339,(41), 4.8
https://www.daraz.pk/products/26cm-ringlight-with-7feet-stand-and-phone-holder-3-shades-of-colours-ring-light-with-stand-ringlight-with-stand-photography-dimmable-selfie-makeup-ring-light-video-led-fill-ring-lamp-with-phone-holder-usb-plug-i193532085-s1387168706.html?search=1,26cm RingLight With 7Feet Stand And Phone Holder & 3 Shades of Colours Ring Light With Stand. Ringlight With Stand Photography Dimmable Selfie Makeup Ring Light Video LED Fill Ring Lamp with Phone Holder USB Plug.,"Rs. 1,425",(69), 4.4
https://www.daraz.pk/products/universal-mobile-phone-clip-holder-mount-bracket-adapter-for-smartphone-camera-cell-phone-tripod-stand-mount-adapter-monopod-i114618622-s1266400711.html?search=1,Universal Mobile Phone Clip Holder Mount Bracket Adapter For Smartphone Camera Cell Phone Tripod Stand Mount Adapter Monopod,Rs. 69,(169), 4.4
