product url,product title,price,reviews,rating
https://www.daraz.pk/products/3-months-all-electronics-insurance-rs-10001-rs-20000-i3610681-s13223004.html?search=1,"3 Months All Electronic's Insurance - Rs. 10,001 - Rs. 20,000",Rs. 600,(6), 4.5
https://www.daraz.pk/products/1-year-all-electronics-insurance-rs-10001-rs-20000-i3610683-s13223006.html?search=1,"1 Year All Electronic's Insurance - Rs. 10,001 - Rs. 20,000","Rs. 1,560",(4), 4.6
https://www.daraz.pk/products/6-months-all-electronics-insurance-rs-10001-rs-20000-i3610682-s13223005.html?search=1,"6 Months All Electronic's Insurance - Rs. 10,001 - Rs. 20,000","Rs. 1,200",(2), 4.4
https://www.daraz.pk/products/1-year-all-electronics-insurance-rs-70001-rs-80000-i3610701-s13223024.html?search=1,"1 Year All Electronic's Insurance - Rs. 70,001 - Rs. 80,000","Rs. 6,240",(2), 4.4
https://www.daraz.pk/products/1-year-all-electronics-insurance-rs-60001-rs-70000-i3610698-s13223021.html?search=1,"1 Year All Electronic's Insurance - Rs. 60,001 - Rs. 70,000","Rs. 5,460",(1), 4.2
https://www.daraz.pk/products/1-year-all-electronics-insurance-rs-90001-rs-100000-i3610707-s13223030.html?search=1,"1 Year All Electronic's Insurance - Rs. 90,001 - Rs. 100,000","Rs. 7,800",(2), 4.8
https://www.daraz.pk/products/1-year-all-electronics-insurance-rs-20001-rs-30000-i3610685-s13223008.html?search=1,"1 Year All Electronic's Insurance - Rs. 20,001 - Rs. 30,000","Rs. 2,340",(3), 4.6
https://www.daraz.pk/products/6-months-all-electronics-insurance-up-to-rs-10000-i3610680-s13223003.html?search=1,"6 Months All Electronic's Insurance - up to Rs. 10,000",Rs. 600,(1), 4.8
https://www.daraz.pk/products/1-year-all-electronics-insurance-rs-30001-rs-40000-i3610688-s13223011.html?search=1,"1 Year All Electronic's Insurance - Rs. 30,001 - Rs. 40,000","Rs. 3,120",(1), 4.6
https://www.daraz.pk/products/1-year-all-electronics-insurance-rs-40001-rs-50000-i3610692-s13223015.html?search=1,"1 Year All Electronic's Insurance - Rs. 40,001 - Rs. 50,000","Rs. 3,900",(1), 4.3
https://www.daraz.pk/products/6-months-all-electronics-insurance-rs-80001-rs-90000-i3610703-s13223026.html?search=1,"6 Months All Electronic's Insurance - Rs. 80,001 - Rs. 90,000","Rs. 5,400",(2), 4.3
https://www.daraz.pk/products/1-year-all-electronics-insurance-rs-80001-rs-90000-i3610704-s13223027.html?search=1,"1 Year All Electronic's Insurance - Rs. 80,001 - Rs. 90,000","Rs. 7,020",(11), 4.3
https://www.daraz.pk/products/3-months-all-electronics-insurance-rs-40001-rs-50000-i3610690-s13223013.html?search=1,"3 Months All Electronic's Insurance - Rs. 40,001 - Rs. 50,000","Rs. 1,500",(5), 4.3
https://www.daraz.pk/products/3-months-all-electronics-insurance-rs-90001-rs-100000-i3610706-s13223029.html?search=1,"3 Months All Electronic's Insurance - Rs. 90,001 - Rs. 100,000","Rs. 3,000",(1), 4.6
https://www.daraz.pk/products/3-months-all-electronics-insurance-rs-10001-rs-20000-i3610681-s13223004.html?search=1,"3 Months All Electronic's Insurance - Rs. 10,001 - Rs. 20,000",Rs. 600,(6), 4.4
https://www.daraz.pk/products/1-year-all-electronics-insurance-rs-10001-rs-20000-i3610683-s13223006.html?search=1,"1 Year All Electronic's Insurance - Rs. 10,001 - Rs. 20,000","Rs. 1,560",(4), 4.5
https://www.daraz.pk/products/6-months-all-electronics-insurance-rs-10001-rs-20000-i3610682-s13223005.html?search=1,"6 Months All Electronic's Insurance - Rs. 10,001 - Rs. 20,000","Rs. 1,200",(2), 4.6
https://www.daraz.pk/products/1-year-all-electronics-insurance-rs-70001-rs-80000-i3610701-s13223024.html?search=1,"1 Year All Electronic's Insurance - Rs. 70,001 - Rs. 80,000","Rs. 6,240",(2), 4.8
