product url,product title,price,reviews,rating
https://www.daraz.pk/products/original-kabir-singh-sunglasses-in-metal-frame-for-men-shahid-kapoor-uv400-polarized-glasses-with-box-i170176943-s1351286520.html?search=1,Original Kabir Singh Sunglasses in Metal Frame for Men - Shahid Kapoor UV400 Polarized Glasses with Box,Rs. 390,(432), 4.7
https://www.daraz.pk/products/day-night-vision-polarizing-glasses-bike-car-drivers-anti-glare-polarized-night-driving-unisex-sunglasses-goggles-auto-accessories-i203718834-s1403922157.html?search=1,"Day Night Vision Polarizing glasses Bike, Car Drivers Anti Glare Polarized Night Driving Unisex Sunglasses Goggles Auto Accessories",Rs. 162,(36), 4.9
https://www.daraz.pk/products/sunglasses-polarized-lens-vintage-eyewear-accessories-sun-glasses-for-men-i180348639-s1399416511.html?search=1,Sunglasses Polarized Lens Vintage Eyewear Accessories Sun Glasses For Men,Rs. 160,(42), 4.8
https://www.daraz.pk/products/kabir-singh-india-movie-sunglasses-men-square-retro-cool-sun-shades-steampunk-style-sun-glasses-for-men-green-golden-i178236760-s1354974982.html?search=1,Kabir Singh India Movie Sunglasses Men Square Retro Cool Sun Shades Steampunk Style Sun Glasses for Men Green Golden,Rs. 290,(53), 4.7
https://www.daraz.pk/products/golden-sunglass-aviator-air-force-aviator-glasses-aviator-sun-glasses-american-army-military-glasses-optical-men-aviator-sun-glasses-women-sunglasses-unisex-sunglasses-i185310984-s1370342217.html?search=1,Golden Sunglass Aviator - Air Force Aviator Glasses - Aviator Sun Glasses - American Army Military Glasses Optical - Men Aviator  Sun Glasses - Women Sunglasses - Unisex Sunglasses,"Rs. 1,099",(12), 4.9
https://www.daraz.pk/products/original-kabir-singh-sunglasses-glasses-in-metal-frame-for-men-women-boy-girl-stylish-shahid-kapoor-uv400-i206924948-s1414700282.html?search=1,Original kabir Singh Sunglasses for Men With Proper Checking Before Sending,Rs. 267,(68), 4.6
https://www.daraz.pk/products/black-lens-sunglasses-polarized-glass-lens-vintage-eyewear-accessories-sun-glasses-for-men-and-women-i194254209-s1388528509.html?search=1,Black Lens Sunglasses Polarized Glass Lens Vintage Eyewear Accessories Sun Glasses For Men And Women,Rs. 190,(8), 4.4
https://www.daraz.pk/products/round-silver-frame-sun-glasses-for-girlsmen-i202818504-s1402220966.html?search=1,Round Silver Frame Sun Glasses for Girls/Men,Rs. 165,(99), 4.9
https://www.daraz.pk/products/golden-round-harry-potter-style-glasses-for-girls-i132737598-s1292986052.html?search=1,Golden Round Harry potter Style Glasses For Girls,Rs. 198,(234), 4.3
https://www.daraz.pk/products/day-night-vision-polarizing-glasses-bike-car-drivers-anti-glare-polarized-night-driving-unisex-sunglasses-goggles-auto-accessories-i119292172-s1272952236.html?search=1,"Day Night Vision Polarizing glasses Bike, Car Drivers Anti Glare Polarized Night Driving Unisex Sunglasses Goggles Auto Accessories",Rs. 189,(599), 4.6
