product url,product title,price,reviews,rating
https://www.daraz.pk/products/brick-game-video-game-toy-for-kids-i133183706-s1293495438.html?search=1,Brick Game Video Game Toy for Kids,Rs. 210,(43), 4.8
https://www.daraz.pk/products/2-pair-4-pubg-thumb-gloves-finger-sleeve-mobile-gaming-accessories-controller-for-trigger-triger-gamepad-sleeves-anti-sweat-game-support-smart-phone-i147152009-s1359784860.html?search=1,2 Pair / 4 Pubg Thumb Gloves Finger Sleeve Mobile Gaming Accessories Controller For Trigger Triger Gamepad Sleeves Anti-sweat Game Support Smart Phone,Rs. 79,(38), 5.0
https://www.daraz.pk/products/pubg-thumb-gloves-triggers-fire-buttonanti-sweat-breathable-thumb-sleeves-glaves-trigger-finger-sleeve-triger-for-android-pubg-mobile-controller-iphone-pub-g-mobiles-trigar-game-pad-grey-i196088006-s1391064242.html?search=1,PUBG Thumb Gloves & Triggers Fire Button/Anti-Sweat Breathable Thumb Sleeves / Glaves Trigger & Finger Sleeve Triger for Android Pubg Mobile Controller & iPhone PUB G Mobiles Trigar Game pad- Grey,Rs. 77,(31), 4.4
https://www.daraz.pk/products/xbox-360-controller-battery-cover-black-i191318108-s1382910033.html?search=1,Xbox 360 Controller Battery Cover - Black,Rs. 200,(21), 4.7
https://www.daraz.pk/products/4-pcs-thumb-stick-grips-cap-gamepad-joystick-cap-cover-case-analog-rubber-thumbstick-grip-silicone-for-ps2-ps3-ps4-ps5-xbox-360-xbox-one-controllers-black-i2882658-s1293401395.html?search=1,4 PCS Thumb Stick Grips Cap Gamepad Joystick Cap Cover Case Analog Rubber ThumbStick Grip Silicone For PS2 / PS3 / PS4 / PS5 / Xbox 360 / Xbox One / Controllers - Black,Rs. 75,(188), 4.3
https://www.daraz.pk/products/pubg-thumb-gloves-anti-sweat-finger-sleeve-breathable-mobile-game-pubg-trigger-controller-i188124350-s1376926072.html?search=1,"PUBG Thumb Gloves, Anti-Sweat, Finger Sleeve, Breathable Mobile Game & PUBG Trigger Controller",Rs. 73,(74), 4.5
https://www.daraz.pk/products/xbox360-pre-jasper-jailbreak-500gb-wireless-controller-white-i210870465-s1418002818.html?search=1,XBOX360 Pre Jasper - Jailbreak - 500GB - Wireless controller White,"Rs. 18,800",(7), 5.0
https://www.daraz.pk/products/3-pair-6-pieces-pubg-thumb-gloves-triggers-fire-buttonanti-sweat-breathable-thumb-sleeves-glaves-trigger-finger-sleeve-triger-for-android-pubg-mobile-controller-iphone-pub-g-mobiles-trigar-game-pad-grey-i201420076-s1400200074.html?search=1,3 Pair/ 6  Pieces PUBG Thumb Gloves & Triggers Fire Button/Anti-Sweat Breathable Thumb Sleeves / Glaves Trigger & Finger Sleeve Triger for Android Pubg Mobile Controller & iPhone PUB G Mobiles Trigar Game pad- Grey,Rs. 299,(17), 4.2
https://www.daraz.pk/products/2-in-1-charger-cable-rechargeable-battery-pack-for-xbox-360-wireless-controller-i167516671-s1336214543.html?search=1,2 in 1 Charger Cable + Rechargeable Battery Pack for Xbox 360 Wireless Controller,Rs. 650,(12), 4.3
https://www.daraz.pk/products/pubg-non-slip-thumbs-gloves-for-playing-games-breathable-mobile-finger-sleeve-touch-screen-finger-controller-cover-i163838104-s1331208228.html?search=1,PUBG Non-Slip Thumbs Gloves for playing Games Breathable Mobile Finger Sleeve Touch Screen Finger Controller Cover,Rs. 39,(304), 4.4
