product url,product title,price,reviews,rating
https://www.daraz.pk/products/dessert-spoon-fashion-elegant-coffee-sugar-spoon-mixing-tea-spoon-cutlery-set-with-swan-feather-holder-i117522453-s1270224390.html?search=1,"Dessert Spoon, Fashion Elegant Coffee Sugar Spoon Mixing Tea Spoon Cutlery Set with Swan Feather Holder",Rs. 775,(482), 4.4
https://www.daraz.pk/products/steel-cutlery-set-spoons-forks-rice-paddle-29-pieces-with-stand-i171884034-s1385422404.html?search=1,Steel Cutlery Set / Spoons / Forks / Rice Paddle / 29 pieces with Stand,"Rs. 1,079",(78), 4.2
https://www.daraz.pk/products/pack-of-4-imported-high-quality-unbreakable-stylish-and-durable-plastic-bowls-set-i209672257-s1416154492.html?search=1,"Pack Of 4 - Imported High Quality Unbreakable, Stylish and Durable Plastic Bowls Set",Rs. 129,(41), 4.6
https://www.daraz.pk/products/1pcs-silicone-spoon-rest-heat-resistant-utensil-holder-cooking-tool-rest-pad-grade-silica-gel-spoon-i200790444-s1399066249.html?search=1,1Pcs Silicone Spoon Rest Heat Resistant Utensil Holder Cooking Tool Rest Pad Grade Silica Gel Spoon,Rs. 84,(161), 5.0
https://www.daraz.pk/products/klassic-gift-set-16-pieces-glass-lid-non-stick-i176892526-s1351698661.html?search=1,Klassic Gift Set 16 Pieces Glass Lid Non Stick,"Rs. 10,999",(138), 4.7
https://www.daraz.pk/products/stainless-steel-ice-cream-scooper-i145326112-s1307346646.html?search=1,Stainless Steel Ice Cream Scooper,Rs. 267,(33), 4.4
https://www.daraz.pk/products/stainless-steel-spice-box-with-spoon-with-stainless-steel-lid-heavy-quality-i147654021-s1310932091.html?search=1,Stainless steel spice box with spoon with stainless steel lid heavy quality,Rs. 970,(100), 5.0
https://www.daraz.pk/products/metal-straw-with-stainless-steel-cleaning-brush-kit-i214265367-s1423085167.html?search=1,Metal Straw with Stainless Steel Cleaning Brush Kit,Rs. 190,(11), 4.6
https://www.daraz.pk/products/chinese-bamboo-chopsticks-reusable-natural-wood-chop-sticks-for-kids-chinese-classic-style-4-sticks-korean-wooden-chop-sticks-noodles-japanese-chopstick-available-in-pair-of-1-5-10-i214349689-s1423224909.html?search=1,"Chinese Bamboo Chopsticks Reusable Natural wood Chop Sticks for Kids Chinese Classic Style 4 Sticks - Korean Wooden Chop sticks - Noodles Japanese Chopstick | Available in Pair of 1, 5 & 10 |",Rs. 100,(12), 4.5
https://www.daraz.pk/products/pack-of-6-high-grade-steel-glass-i109948698-s1260596209.html?search=1,Pack Of 6 High Grade Steel Glass,"Rs. 1,495",(23), 4.3
