product url,product title,price,reviews,rating
https://www.daraz.pk/products/magic-spin-mop-easy-spin-magic-mop-set-360-degree-microfiber-mop-head-home-clean-tools-microfiber-i142410413-s1302750457.html?search=1,Spin Mop - Easy Spin Magic Mop Set - 360 Degree Microfiber Mop Head Home Clean Tools Microfiber,"Rs. 2,010",(1069), 5.0
https://www.daraz.pk/products/wbm-multi-functional-lint-remover-60-sheets-lint-roller-adhesive-roller-lint-remover-i170980277-s1341286592.html?search=1,"WBM Multi-Functional Lint Roller (60 Sheets) - Lint Remover, Dust ,Hair and More",Rs. 449,(306), 4.8
https://www.daraz.pk/products/pack-of-3-5-layer-magic-hanger-multi-purpose-hanger-space-saver-closet-organizer-i205884192-s1432278808.html?search=1,(Pack of 3) - 5 Layer Magic Hanger / Multi-Purpose Hanger / Space Saver / Closet Organizer,Rs. 194,(153), 4.8
https://www.daraz.pk/products/flat-spin-mop-designer-edition-imported-i149802811-s1313866256.html?search=1,Flat Spin Mop [Designer Edition] - Imported,"Rs. 2,099",(103), 4.6
https://www.daraz.pk/products/5-layers-hangers-for-clothes-plastic-clothes-hangers-for-scarfs-closet-organizer-hangers-for-kids-clothes-space-saving-hangers-for-wet-clothes-hanger-organizer-for-wardrobe-multicolour-i200848928-s1416156863.html?search=1,5 Layers Hangers For Clothes - Plastic Clothes Hangers For Scarfs Closet Organizer Hangers For Kids Clothes Space Saving Hangers For Wet Clothes - Hanger Organizer For Wardrobe - Multicolour,Rs. 67,(193), 5.0
https://www.daraz.pk/products/pack-of-3-magic-hangers-space-saving-9-holes-wardrobe-closet-organizer-i209730420-s1416270649.html?search=1,Pack Of 3 - Magic Hangers Space Saving 9 holes wardrobe closet Organizer,Rs. 196,(84), 4.8
https://www.daraz.pk/products/super-magic-changeable-clothes-pluto-plastic-hanger-space-saving-saver-wonder-closet-organizer-9-holes-holder-cloths-and-pants-hanger-i180344250-s1359192800.html?search=1,Super Magic Changeable Clothes Pluto Plastic Hanger Space Saving Saver Wonder Closet Organizer 9 Holes Holder Cloths and Pants Hanger,Rs. 39,(225), 4.9
https://www.daraz.pk/products/millat-laundry-basket-i190032092-s1380646988.html?search=1,Millat Laundry Basket,Rs. 629,(76), 4.5
https://www.daraz.pk/products/over-door-hanger-with-7-hooks-metal-over-the-door-towel-hook-organizer-hanging-storage-rack-for-hat-coats-purses-scarves-clothes-jackets-belt-bedroom-bathroom-closet-i201048785-s1400206610.html?search=1,"Over Door Hanger with 7 Hooks Metal Over the Door Towel Hook Organizer, Hanging Storage Rack for Hat, Coats, Purses, Scarves, Clothes, Jackets, Belt, Bedroom, Bathroom, Closet",Rs. 375,(137), 4.7
https://www.daraz.pk/products/magic-spray-flat-mop-aurora-imported-i168732074-s1338154181.html?search=1,Magic Spray Flat Mop - Aurora [Imported],"Rs. 1,540",(89), 4.7
https://www.daraz.pk/products/hoper-pedal-bin-millat-i134695198-s1295036631.html?search=1,Hoper Pedal Bin Millat,Rs. 769,(73), 4.9
https://www.daraz.pk/products/wbm-multifunctional-dish-palm-brush-with-powerful-bristles-plastic-brush-with-washing-up-liquid-soap-dispenser-dishwashing-brush-dish-brush-i170966899-s1341286772.html?search=1,WBM Multifunctional Dish Palm Brush with Powerful Bristles,Rs. 169,(342), 4.3
https://www.daraz.pk/products/tc-reusable-silicone-magic-washing-gloves-with-scrubber-cleaning-brush-scrubber-gloves-heat-resistant-pair-for-cleaning-of-kitchen-dishes-vegetables-and-fruits-bathroom-car-wash-pet-care-and-multipurpose-i213990635-s1422669721.html?search=1,"TC Reusable Silicone Magic Washing Gloves with Scrubber, Cleaning Brush Scrubber Gloves Heat Resistant Pair for Cleaning of Kitchen, Dishes, Vegetables and Fruits, Bathroom, Car Wash, Pet Care and Multipurpose",Rs. 298,(80), 4.2
https://www.daraz.pk/products/folding-broom-brush-and-dustpan-set-i147600499-s1310854482.html?search=1,Folding Broom Brush and Dustpan Set,Rs. 790,(67), 4.2
https://www.daraz.pk/products/pack-of-2-empty-plastic-spray-bottle-i153806298-s1318666705.html?search=1,Pack of 2 Empty Plastic Spray Bottle,Rs. 149,(222), 4.7
https://www.daraz.pk/products/9-hole-plastic-magic-hanger-space-saving-plastic-hanger-for-clothes-i216939306-s1426995332.html?search=1,9 Hole Plastic Magic Hanger Space Saving Plastic Hanger For Clothes,Rs. 58,(41), 4.5
https://www.daraz.pk/products/glass-wiper-glass-cleaner-wiper-for-kitchen-slabs-car-window-multipurpose-cleaning-i146632283-s1309524346.html?search=1,"Glass Wiper, Glass cleaner Wiper for kitchen slabs car window & Multipurpose cleaning",Rs. 96,(67), 4.7
