product url,product title,price,reviews,rating
https://www.daraz.pk/products/leather-wallet-for-men-stylish-leather-wallet-for-men-porsche-leather-wallet-decent-stylish-and-smart-wallet-online-general-store-i177670213-s1383008802.html?search=1,Leather Wallet for men- Stylish Leather Wallet for Men - Porsche Leather Wallet  – Decent Stylish and Smart Wallet-Online General store,Rs. 659,(88), 4.3
https://www.daraz.pk/products/aluma-wallet-resistant-card-protect-card-holder-6-pockets-ultra-slim-portable-for-travel-i181838850-s1362430202.html?search=1,Aluma Wallet Resistant Card Protect Card Holder 6 pockets Ultra Slim Portable For Travel,Rs. 63,(1284), 4.5
https://www.daraz.pk/products/hot-selling-mini-wallet-atm-wallet-best-quality-card-holder-space-saving-wallet-new-compatible-size-hot-selling-i126618331-s1284956644.html?search=1,Hot selling Mini Wallet ATM Wallet best quality Card holder space saving Wallet new compatible size hot selling,Rs. 159,(159), 4.6
https://www.daraz.pk/products/pakistani-rs-5000-shaped-wallet-for-men-five-thousand-note-wallet-purse-i113268479-s1264944947.html?search=1,Pakistani Rs 5000 Shaped Wallet For Men Five Thousand Rupee Note Wallet Purse free home delivery,Rs. 220,(264), 4.5
https://www.daraz.pk/products/leather-long-wallet-for-men-mobile-wallet-boys-personalized-fashionmen-wallet-genuine-export-quality-very-attractive-neat-finishing-i168542861-s1337914129.html?search=1,leather Long Wallet for men - mobile wallet boys Personalized Fashionmen Wallet genuine export Quality very attractive neat finishing,Rs. 460,(76), 4.2
https://www.daraz.pk/products/soft-leather-wallet-for-men-branded-with-box-i202400380-s1401712045.html?search=1,Soft Leather Wallet For Men Branded With Box,Rs. 450,(59), 4.9
https://www.daraz.pk/products/american-dollars-100-shape-usa-hundred-printed-wallet-for-men-purse-i107534075-s1265268634.html?search=1,American dollars 100$ Shape USA Hundred Printed Wallet For Men Purse free home delivery,Rs. 198,(114), 4.3
https://www.daraz.pk/products/pu-leather-tri-fold-zipper-coin-wallet-for-men-i103874838-s1250150781.html?search=1,PU Leather Tri-Fold Zipper Coin Wallet For Men,"Rs. 1,697",(645), 5.0
https://www.daraz.pk/products/best-slim-and-small-leather-wallet-for-men-with-zipper-i129526780-s1289303099.html?search=1,Pocket Friendly Small Wallet For Men,Rs. 298,(351), 4.2
https://www.daraz.pk/products/customizedpersonalized-name-and-picture-engraved-on-wallet-and-key-chain-with-gift-box-packing-perfect-gift-to-send-your-loved-ones-i201240834-s1399912129.html?search=1,Customized/Personalized Name And Picture Engraved On Wallet and Key chain With Gift Box Packing (PERFECT GIFT TO SEND YOUR LOVED ONES),Rs. 860,(14), 4.9
https://www.daraz.pk/products/smooth-leather-stylish-wallet-for-men-i133775526-s1294178754.html?search=1,Smooth Leather Stylish Wallet for Men,Rs. 398,(236), 4.4
