product url,product title,price,reviews,rating
https://www.daraz.pk/products/cut-price-faux-leather-style-belt-for-men-dull-black-i133116475-s1293427685.html?search=1,Cut Price Faux Leather Style Belt for Men Dull Black,Rs. 249,(199), 4.4
https://www.daraz.pk/products/high-quality-cap-for-men-plain-black-i190310841-s1381176541.html?search=1,High Quality Cap for Men Plain Black,Rs. 350,(62), 4.9
https://www.daraz.pk/products/customize-name-cap-with-name-i115594122-s1267506922.html?search=1,Customize Name Cap With Name,Rs. 349,(490), 5.0
https://www.daraz.pk/products/caps-for-men-sun-cap-hats-hat-summer-winter-black-blue-navy-red-gray-skyblue-sky-blue-stylish-i202028474-s1414778261.html?search=1,"Sun Protection Cap For Men,(Never Compromise on  Quality) Proper Checking before sending [Watch.Upper.video to identify the Quality]",Rs. 316,(156), 4.9
https://www.daraz.pk/products/p-cap-high-quality-stretch-fit-comfort-fit-adjustable-suitable-for-sportsmen-sunlight-protection-i215240685-s1429591234.html?search=1,P-Cap High quality Stretch Fit -Comfort fit- Adjustable -Suitable for sportsmen- Sunlight protection,Rs. 240,(21), 4.8
https://www.daraz.pk/products/mens-100-italian-cow-leather-belt-men-with-anti-scratch-bucklepacked-in-a-flyer-i144998500-s1306792666.html?search=1,"Men's 100% Italian Cow Leather Belt Men With Anti-Scratch Buckle,Packed in a Flyer",Rs. 425,(153), 5.0
https://www.daraz.pk/products/unisex-adjustable-near-shirt-support-black-tuck-it-belt-shirt-tucked-mens-shirt-support-women-shirt-support-i126628833-s1285044789.html?search=1,Unisex Adjustable Near Shirt Support Black Tuck It Belt Shirt Tucked Mens Shirt Support women shirt support,Rs. 350,(146), 4.5
https://www.daraz.pk/products/ralli-art-style-bennie-fleece-cap-malang-cap-i101822033-s1247406047.html?search=1,Ralli Art Style Bennie Fleece Cap (Malang Cap),Rs. 649,(25), 4.8
https://www.daraz.pk/products/visor-caps-for-men-baseball-caps-with-adjustable-valcro-i204046980-s1404534612.html?search=1,Visor Caps for Men Baseball Caps with Adjustable valcro,Rs. 99,(24), 4.9
https://www.daraz.pk/products/leather-beltstylish-black-brown-beltformal-belt-for-menquality-belt-i177302782-s1352778259.html?search=1,LEATHER BELT/STYLISH BLACK & BROWN BELT/FORMAL BELT FOR MEN/QUALITY BELT,Rs. 250,(58), 4.8
https://www.daraz.pk/products/brown-pure-sheep-leather-cap-i148378664-s1340666330.html?search=1,Brown pure sheep leather cap,Rs. 899,(57), 4.8
https://www.daraz.pk/products/men-shirt-stays-garter-suspenders-holder-i125088071-s1282968405.html?search=1,Men Shirt Stays Garter Suspenders Holder,Rs. 560,(255), 4.5
https://www.daraz.pk/products/p-caps-for-men-sun-hats-with-adjustable-strap-i131796788-s1291819662.html?search=1,P Caps for Men Sun Hats With Adjustable Strap,Rs. 189,(23), 4.3
https://www.daraz.pk/products/turning-buckle-belt-for-mens-i131237152-s1291142259.html?search=1,Turning Buckle Belt For Mens,Rs. 295,(95), 4.5
https://www.daraz.pk/products/mens-genuine-leather-belt-100-cow-leather-with-anti-scratch-pin-buckle-brown-i186092539-s1371974729.html?search=1,"Men's Genuine Leather Belt, 100% Cow Leather with Anti-Scratch Pin Buckle-Brown",Rs. 399,(36), 4.2
https://www.daraz.pk/products/customize-name-capcustomize-name-on-capname-wala-capname-on-cap-i200402565-s1398416176.html?search=1,Customize Name Cap/Customize Name On Cap/Name Wala Cap/Name On Cap/,Rs. 350,(15), 4.8
https://www.daraz.pk/products/black-classy-ferragamo-belt-for-men-black-buckle-i168066105-s1337246196.html?search=1,Black Classy Ferragamo Belt For Men - Black Buckle,Rs. 329,(30), 4.8
https://www.daraz.pk/products/white-color-tableeghi-namaz-topi-prayer-cap-plain-i4151138-s27233571.html?search=1,White Color Tableeghi | Namaz Topi | Prayer Cap  - Plain,Rs. 150,(4), 4.3
https://www.daraz.pk/products/fashion-caps-for-men-with-adjustable-strap-for-sunlight-protection-hats-i148078775-s1345130138.html?search=1,Fashion Caps for Men with Adjustable Strap for Sunlight Protection Hats,Rs. 189,(66), 4.6
https://www.daraz.pk/products/pre-folded-ready-made-satin-men-coat-pocket-square-romal-necktie-on-card-bouquet-assorted-woven-mens-pocket-square-handkerchief-i204374433-s1405150334.html?search=1,Pre Folded Ready Made Satin Men Coat Pocket Square Romal Necktie On Card Bouquet - Assorted Woven Men's Pocket Square Handkerchief,Rs. 85,(12), 4.2
https://www.daraz.pk/products/sad-face-printed-cap-for-men-i176362123-s1350350590.html?search=1,Sad face printed cap for men,Rs. 299,(10), 4.9
https://www.daraz.pk/products/elastic-suspender-for-boys-i135642443-s1295866958.html?search=1,ELASTIC SUSPENDERS FOR BOYS,Rs. 299,(31), 4.3
https://www.daraz.pk/products/casual-cap-with-adjustable-buckle-and-strap-sun-hats-for-men-daily-use-caps-i132144193-s1327660251.html?search=1,Casual Cap With Adjustable Buckle and Strap Sun Hats for Men Daily Use Caps,Rs. 189,(66), 4.6
https://www.daraz.pk/products/premium-quality-suiting-fabric-soft-namaz-topi-prayer-cap-i130206379-s1424790502.html?search=1,Premium Quality Suiting Fabric Soft Namaz Topi | Prayer Cap,Rs. 409,(12), 4.6
https://www.daraz.pk/products/bts-army-cap-for-men-women-adjustable-baseball-hats-south-korean-band-lover-i208014320-s1413150061.html?search=1,BTS Army Cap for Men Women Adjustable Baseball Hats South Korean Band Lover,Rs. 250,(9), 4.5
https://www.daraz.pk/products/ethnic-unisex-bandana-scarf-head-wrap-scarf-for-boys-paisley-printed-cotton-bandana-for-boys-i187624559-s1376022055.html?search=1,Ethnic Unisex Bandana Scarf Head Wrap Scarf For Boys - Paisley Printed Cotton Bandana For Boys,Rs. 149,(14), 4.3
https://www.daraz.pk/products/soft-and-comfortable-wash-and-wear-cloth-contrasting-prayer-cap-namaz-topi-i155086640-s1320530815.html?search=1,Soft and Comfortable - Wash and Wear Cloth Contrasting Prayer Cap - Namaz Topi,Rs. 499,(13), 4.3
https://www.daraz.pk/products/turning-buckle-two-sided-belt-for-men-i170322715-s1340286250.html?search=1,Turning Buckle two sided belt for Men,Rs. 299,(26), 4.4
https://www.daraz.pk/products/black-pure-leather-cap-i153486818-s1318280056.html?search=1,Black pure Leather cap,Rs. 899,(41), 4.5
https://www.daraz.pk/products/premium-quality-cap-for-men-plain-i213136518-s1422623117.html?search=1,Premium Quality Cap For Men plain,Rs. 270,(22), 4.9
https://www.daraz.pk/products/mens-wide-silk-tie-branded-mens-6-cm-business-wedding-suit-neck-tie-i200414183-s1428379059.html?search=1,Men's Wide Silk Tie  Branded Men's 6 cm Business Wedding Suit Neck Tie,Rs. 120,(5), 4.3
https://www.daraz.pk/products/ertugrul-ghazi-turkish-hat-i190360016-s1401820647.html?search=1,Ertugrul Ghazi Turkish Hat,Rs. 640,(11), 4.8
https://www.daraz.pk/products/visor-caps-for-men-baseball-caps-with-adjustable-valcro-i204054775-s1404530714.html?search=1,Visor Caps for Men Baseball Caps with Adjustable valcro,Rs. 99,(14), 4.6
https://www.daraz.pk/products/shirt-stay-best-shirt-stays-black-shirt-tucked-men-i130835157-s1290724285.html?search=1,Shirt-Stay Best Shirt Stays Black  Shirt Tucked Men,Rs. 120,(153), 4.3
https://www.daraz.pk/products/skin-black-layer-inner-cap-for-women-i109950326-s1260566767.html?search=1,Skin Black Layer Inner Cap for Women,Rs. 140,(91), 4.4
https://www.daraz.pk/products/pack-of-2-fashion-wear-casual-leather-belt-for-boys-mens-multicolor-i171606082-s1342456878.html?search=1,(Pack Of 2) Fashion Wear Casual Leather Belt For Boys & Men's- Multicolor,Rs. 299,(20), 4.7
https://www.daraz.pk/products/high-quality-army-cap-digital-camouflage-cap-i209312194-s1415488414.html?search=1,High Quality Army Cap | Digital Camouflage Cap,Rs. 149,(4), 4.7
https://www.daraz.pk/products/pack-of-2-printed-headbandbandana-i109852922-s1260394816.html?search=1,Pack of 2 - Printed Headband/Bandana,Rs. 199,(60), 4.8
