product url,product title,price,reviews,rating
https://www.daraz.pk/products/mens-thin-silver-snake-chain-i178440738-s1355458007.html?search=1,mens thin silver snake chain,Rs. 190,(14), 4.8
https://www.daraz.pk/products/thin-silver-trendy-neck-chain-i169912358-s1429008969.html?search=1,THIN SILVER TRENDY neck chain,Rs. 145,(100), 4.4
https://www.daraz.pk/products/pack-of-5-punk-leather-knitted-rope-multilayer-bracelet-for-men-and-boys-i154346871-s1319448318.html?search=1,Pack of 5 Punk Leather Knitted Rope Multilayer Bracelet for Men and Boys,Rs. 270,(25), 4.2
https://www.daraz.pk/products/fashion-2021-men-punk-gothic-stainless-steel-silver-simple-round-stud-earrings-lover-for-boys-mens-and-girls-womens-earing-jewellery-jewelry-gift-1-pair-i214157354-s1422894725.html?search=1,Fashion 2021 Men Punk Gothic Stainless Steel Silver Simple Round Stud Earrings Lover For Boys Mens and Girls Womens Earing Jewellery Jewelry Gift (1 Pair),Rs. 179,(2), 4.8
https://www.daraz.pk/products/into-style-black-beads-wrist-bands-for-girls-and-boys-i205822695-s1410188161.html?search=1,INTO Style Black Beads Wrist Bands For Girls And Boys,Rs. 90,(8), 4.9
https://www.daraz.pk/products/superman-logo-men-rubber-band-bracelet-for-boys-i205818763-s1410182202.html?search=1,Superman Logo Men Rubber Band ( Bracelet ) For Boys,Rs. 70,(17), 4.6
https://www.daraz.pk/products/men-leather-bracelet-fashion-infinity-i110536477-s1261484222.html?search=1,Men Leather Bracelet - Fashion Infinity,Rs. 199,(6), 4.9
https://www.daraz.pk/products/trendy-black-natural-stone-beads-bracelet-for-women-men-unisex-three-layers-jewelry-wrist-hand-bands-i105402660-s1252700092.html?search=1,Trendy Black Natural Stone Beads Bracelet For Women Men Unisex Three Layers Jewelry Wrist Hand Bands,Rs. 145,(23), 4.8
https://www.daraz.pk/products/natural-opal-gemstone-fine-quality-3-carat-i146702668-s1309658285.html?search=1,Natural Opal Gemstone Fine Quality - 3 carat,"Rs. 2,400",(3), 4.2
https://www.daraz.pk/products/gold-platted-jewellery-set-i131816100-s1426588909.html?search=1,new stylish gold platted simple set,Rs. 699,(39), 4.7
https://www.daraz.pk/products/black-hawk-premium-leather-punk-biker-cow-boy-skull-bracelet-adjustable-i102397549-s1248178192.html?search=1,Black Hawk Premium Leather Punk Biker Cow Boy Skull Bracelet Adjustable,Rs. 140,(14), 4.3
https://www.daraz.pk/products/golden-trendy-kara-hand-band-bracelet-for-men-and-boys-i131229059-s1291136016.html?search=1,Golden trendy Kara Hand band Bracelet  for men and boys,Rs. 165,(20), 5.0
https://www.daraz.pk/products/mb9-adjustable-strong-thread-beads-bracelet-for-boys-girls-i215993984-s1425627102.html?search=1,MB9 Adjustable Strong Thread Beads Bracelet for Boys & Girls,Rs. 95,(1), 4.5
https://www.daraz.pk/products/thin-silver-trendy-neck-chain-thin-silver-american-trendy-neck-chain-i139748930-s1420196630.html?search=1,THIN SILVER TRENDY neck chain THIN SILVER AMERICAN TRENDY neck chain,Rs. 149,(80), 4.2
https://www.daraz.pk/products/stylish-imported-5-pcs-multilayer-handmade-european-leather-bracelet-charms-beads-for-men-women-unisex-punk-wrist-hand-bands-i102120868-s1247848055.html?search=1,Stylish Imported 5 Pcs Multilayer Handmade European Leather Bracelet Charms Beads for Men Women Unisex Punk Wrist Hand Bands,Rs. 390,(58), 4.5
https://www.daraz.pk/products/superman-logo-men-rubber-bracelet-for-boys-i206798686-s1411516124.html?search=1,Superman Logo Men Rubber Bracelet For Boys,Rs. 25,(6), 4.8
https://www.daraz.pk/products/pack-of-5-punk-leather-knitted-rope-multilayer-bracelet-for-men-and-boys-i154754230-s1319986229.html?search=1,Pack of 5 Punk Leather Knitted Rope Multilayer Bracelet for Men and Boys,Rs. 270,(11), 4.7
https://www.daraz.pk/products/beautiful-and-sophisticated-vintage-rusty-handmade-bracelet-trendy-punk-rock-for-men-boys-i136916785-s1297094490.html?search=1,beautiful and sophisticated vintage Rusty Handmade bracelet trendy punk rock for men boys,Rs. 69,(8), 4.4
https://www.daraz.pk/products/high-quality-pack-of-3-mens-jewellery-in-black-stainless-steel-beads-chain-magnet-alloy-earrings-and-leather-woven-hand-band-bracelet-i175356167-s1348170999.html?search=1,High Quality Pack of 3 Mens Jewellery in Black Stainless Steel Beads Chain Magnet Alloy Earrings and Leather Woven Hand Band Bracelet,Rs. 199,(6), 4.5
https://www.daraz.pk/products/original-real-feroza-turquoise-stone-weight-about-12-15-crt-i212638556-s1420756979.html?search=1,Original Real Feroza Turquoise Stone weight about 12 - 15 crt,Rs. 299,(3), 5.0
https://www.daraz.pk/products/pack-of-12-yamni-and-sulemani-aqeeq-orignal-small-i129579546-s1289348781.html?search=1,Pack of 12 Yamni and Sulemani Aqeeq Orignal small,Rs. 249,(16), 4.4
https://www.daraz.pk/products/golden-stainless-steel-charming-hand-chain-bracelet-for-boys-and-men-i194568091-s1388982042.html?search=1,Golden Stainless Steel Charming Hand Chain Bracelet For Boys and Men,Rs. 685,(4), 4.3
https://www.daraz.pk/products/pack-of-4-superman-logo-rubber-band-button-bracelets-i133899238-s1411526067.html?search=1,Superman Logo Rubber Band Button Bracelets,Rs. 100,(4), 4.3
https://www.daraz.pk/products/silver-trendy-kara-hand-band-bracelet-for-men-and-boys-i131226466-s1291133232.html?search=1,Silver trendy Kara Hand band Bracelet  for men and boys,Rs. 165,(28), 4.6
https://www.daraz.pk/products/tiger-eye-stone-weight145-carat-gems-stone-i131616549-s1291558941.html?search=1,Tiger eye stone Weight 14.5 carat Gems Stone,Rs. 600,(45), 4.4
https://www.daraz.pk/products/latest-natural-black-obisdian-beads-and-various-color-8mm-marble-stone-beads-bracelet-for-men-women-unisex-jewelry-wrist-hand-bands-i115318971-s1267148014.html?search=1,Latest Natural Black Obisdian Beads and Various Color 8mm Marble Stone Beads Bracelet For Men Women Unisex Jewelry Wrist Hand Bands,Rs. 145,(11), 4.7
https://www.daraz.pk/products/pack-of-10-irani-sulemani-yamni-tiger-stone-weight-3-to-8-cart-each-i137348382-s1297474729.html?search=1,"Pack of 10 irani, Sulemani, yamni, tiger stone. Weight 3 to 8 cart each",Rs. 229,(12), 4.5
https://www.daraz.pk/products/black-magnetic-round-earrings-for-men-i103492579-s1249638547.html?search=1,Black Magnetic Round Earrings For Men,Rs. 121,(33), 5.0
https://www.daraz.pk/products/black-clip-punk-earrings-men-i3165649-s12525786.html?search=1,Black Clip Punk Earrings Men,Rs. 170,(29), 4.5
https://www.daraz.pk/products/emerald-gemstone-weight-380ct-i101649960-s1247212670.html?search=1,Emerald Gemstone - Weight: 3.80ct,Rs. 649,(6), 4.4
https://www.daraz.pk/products/jewellery-sets-making-jumping-circles-golden-i102506022-s1248317426.html?search=1,Jewellery sets making Jumping Circles - Golden,Rs. 70,(78), 4.6
https://www.daraz.pk/products/golden-shinny-thin-hand-chain-charm-bracelet-for-boys-and-men-i153054165-s1317658972.html?search=1,Golden Shinny Thin Hand Chain Charm Bracelet for Boys and Men,Rs. 399,(6), 4.4
https://www.daraz.pk/products/set-of-5-punk-leather-knitted-rope-multilayer-wrist-hand-band-bracelet-for-men-and-boys-i145942540-s1308440470.html?search=1,Set of 5 Punk Leather Knitted Rope Multilayer Wrist Hand Band Bracelet for Men and Boys,Rs. 980,(12), 4.6
https://www.daraz.pk/products/pack-of-2-color-changing-stone-night-glowing-stone-i169018006-s1338536957.html?search=1,Pack of 2 Color changing stone & Night glowing stone,Rs. 245,(3), 4.5
https://www.daraz.pk/products/combo-of-2-1x-mens-thin-chain-1x-beads-bracelet-i178444620-s1355436666.html?search=1,"combo of 2  1x men's thin chain , 1x  beads bracelet",Rs. 199,(7), 4.8
https://www.daraz.pk/products/pack-of-2-premium-natural-wooden-beads-original-color-and-maroon-bracelet-jewelry-for-men-unisex-i105500148-s1252820073.html?search=1,Pack of 2 Premium Natural Wooden Beads Original Color and Maroon Bracelet Jewelry for Men Unisex,Rs. 154,(8), 4.2
https://www.daraz.pk/products/pack-of-6-genuine-leather-bracelet-i170998880-s1341348283.html?search=1,Pack of 6: Genuine Leather Bracelet,Rs. 250,(5), 4.2
https://www.daraz.pk/products/black-round-earrings-for-men-i116624480-s1268774753.html?search=1,Black Round Earrings For Men,Rs. 129,(7), 4.7
https://www.daraz.pk/products/pack-of-2-trendy-sophisticated-uniquely-designed-retro-rusty-vintage-leather-handmade-bracelet-for-men-punk-wrist-hand-bands-i113566940-s1265210411.html?search=1,Pack of 2 Trendy Sophisticated Uniquely Designed Retro Rusty Vintage Leather Handmade Bracelet for Men Punk Wrist Hand Bands,Rs. 225,(24), 4.3
https://www.daraz.pk/products/2019-stylish-multilayer-4-pcs-leather-bracelet-with-zinc-alloy-charms-wooden-beads-bracelets-for-men-unisex-punk-wristbands-i105076738-s1251720409.html?search=1,2019 Stylish Multilayer 4 Pcs Leather Bracelet with Zinc Alloy Charms wooden Beads Bracelets for Men Unisex Punk Wristbands,Rs. 300,(18), 4.9
https://www.daraz.pk/products/mens-thin-silver-snake-chain-i178440738-s1355458007.html?search=1,mens thin silver snake chain,Rs. 190,(14), 4.5
https://www.daraz.pk/products/thin-silver-trendy-neck-chain-i169912358-s1429008969.html?search=1,THIN SILVER TRENDY neck chain,Rs. 145,(100), 4.2
https://www.daraz.pk/products/pack-of-5-punk-leather-knitted-rope-multilayer-bracelet-for-men-and-boys-i154346871-s1319448318.html?search=1,Pack of 5 Punk Leather Knitted Rope Multilayer Bracelet for Men and Boys,Rs. 270,(25), 4.7
https://www.daraz.pk/products/fashion-2021-men-punk-gothic-stainless-steel-silver-simple-round-stud-earrings-lover-for-boys-mens-and-girls-womens-earing-jewellery-jewelry-gift-1-pair-i214157354-s1422894725.html?search=1,Fashion 2021 Men Punk Gothic Stainless Steel Silver Simple Round Stud Earrings Lover For Boys Mens and Girls Womens Earing Jewellery Jewelry Gift (1 Pair),Rs. 179,(2), 4.3
https://www.daraz.pk/products/into-style-black-beads-wrist-bands-for-girls-and-boys-i205822695-s1410188161.html?search=1,INTO Style Black Beads Wrist Bands For Girls And Boys,Rs. 90,(8), 4.7
https://www.daraz.pk/products/superman-logo-men-rubber-band-bracelet-for-boys-i205818763-s1410182202.html?search=1,Superman Logo Men Rubber Band ( Bracelet ) For Boys,Rs. 70,(17), 4.4
https://www.daraz.pk/products/men-leather-bracelet-fashion-infinity-i110536477-s1261484222.html?search=1,Men Leather Bracelet - Fashion Infinity,Rs. 199,(6), 4.5
https://www.daraz.pk/products/trendy-black-natural-stone-beads-bracelet-for-women-men-unisex-three-layers-jewelry-wrist-hand-bands-i105402660-s1252700092.html?search=1,Trendy Black Natural Stone Beads Bracelet For Women Men Unisex Three Layers Jewelry Wrist Hand Bands,Rs. 145,(23), 4.4
https://www.daraz.pk/products/natural-opal-gemstone-fine-quality-3-carat-i146702668-s1309658285.html?search=1,Natural Opal Gemstone Fine Quality - 3 carat,"Rs. 2,400",(3), 4.3
https://www.daraz.pk/products/gold-platted-jewellery-set-i131816100-s1426588909.html?search=1,new stylish gold platted simple set,Rs. 699,(39), 4.3
https://www.daraz.pk/products/black-hawk-premium-leather-punk-biker-cow-boy-skull-bracelet-adjustable-i102397549-s1248178192.html?search=1,Black Hawk Premium Leather Punk Biker Cow Boy Skull Bracelet Adjustable,Rs. 140,(14), 4.6
https://www.daraz.pk/products/golden-trendy-kara-hand-band-bracelet-for-men-and-boys-i131229059-s1291136016.html?search=1,Golden trendy Kara Hand band Bracelet  for men and boys,Rs. 165,(20), 4.4
https://www.daraz.pk/products/mb9-adjustable-strong-thread-beads-bracelet-for-boys-girls-i215993984-s1425627102.html?search=1,MB9 Adjustable Strong Thread Beads Bracelet for Boys & Girls,Rs. 95,(1), 4.8
