product url,product title,price,reviews,rating
https://www.daraz.pk/products/type-c-cable-usb-c-cable-12-meters-3a-nylon-braided-high-speed-cord-usb-type-a-to-c-fast-charging-data-cable-for-samsung-galaxy-s10-s9-note-10-9moto-zlg-v20-g5google-pixel-2xloneplus-5-3t-i203140612-s1402696506.html?search=1,"Type C Cable USB C Cable 1.2 meters 3A Nylon Braided High Speed Cord USB Type A to C Fast Charging Data Cable for Samsung Galaxy S10 S9 Note 10 9,Moto Z,LG V20 G5,Google Pixel 2XL,OnePlus 5 3T",Rs. 289,(125), 4.5
https://www.daraz.pk/products/interlink-type-c-data-cable-for-android-fast-charging-data-cable-c-type-quick-charging-and-data-branded-cable-for-all-type-of-c-type-phones-length-1-meter-color-white-i214368092-s1423235802.html?search=1,Interlink Type C Data Cable For Android Fast Charging Data Cable C Type Quick Charging And Data Branded Cable For All Type Of C Type Phones Length 1 Meter Color White,Rs. 265,(32), 4.4
https://www.daraz.pk/products/turbo-charging-data-cable-for-android-mobile-phones-i206780838-s1411490617.html?search=1,Turbo Charging Data Cable for Android Mobile Phones,Rs. 105,(90), 4.3
https://www.daraz.pk/products/foxconn-iphone-data-cable-lightning-to-usb-cable-mfi-certified-fast-charging-syncing-compatible-iphone-11-pro-max11proxsmaxxrx88p765s-data-cable-for-iphone-i196176035-s1391080500.html?search=1,Foxconn iPhone Data Cable Lightning to USB Cable - MFi Certified FAST Charging & Syncing Compatible iPhone 11 Pro Max/11Pro/XS/Max/XR/X/8/8P/7/6/5S Data Cable for iPhone,Rs. 197,(117), 4.5
https://www.daraz.pk/products/original-warner-data-cable-12-meter-micro-usb-30-fast-charging-for-android-phones-i179454259-s1357314893.html?search=1,ORIGINAL Warner Data Cable 1.2 Meter Micro USB 3.0 Fast Charging  For Android Phones,Rs. 132,(90), 4.5
https://www.daraz.pk/products/original-orignal-data-cable-micro-usb-vooc-fast-charging-genioun-datacable-cabel-for-android-samsung-htc-oppo-huawei-white-tecno-infinix-redmi-vivo_-honor_-oneplus_-xiaomi-android-converter-c-to-c-i140062848-s1428357288.html?search=1,100% Original 3A Pure copper wire Fast Charging Data Cable for All Brandz(Beaware from copies),Rs. 149,(192), 4.7
https://www.daraz.pk/products/5a-type-c-cable-fast-charging-usb-c-data-cable-for-all-android-phones-samsung-huawei-oppo-purple-data-cable-redmi-xiaomi-infinix-note-8-vivo_-realme_-htc_-xiaomi_-redmi_-i171402366-s1423608879.html?search=1,"101% Original S8,S10 Type C Pure Copper Fast Charging + Data Cable With 12 Months Warranty",Rs. 219,(189), 4.6
https://www.daraz.pk/products/iphone-data-cable-charging-cable-cabel-original-for-iphone-6-6s-7-7s-8-8s-x-xs-max-10-11-plus-usb-orignal-genuine-foxcon-foxecon-pisen-i140048728-s1414892337.html?search=1,101% Original WOPOW 4A Pure Copper woven Fabric Wire Fast Iphone Charging + Data Cable For All Iphone Devices,Rs. 260,(164), 4.3
https://www.daraz.pk/products/flowing-led-light-original-iphone-fast-charging-3a-data-cable-pure-copper-wire-for-iphone-macbook-all-iphone-devices-i204782100-s1406226302.html?search=1,Flowing Led Light Original iPhone Fast Charging 3A Data Cable Pure Copper Wire For iPhone/ MacBook All iPhone Devices,Rs. 174,(49), 4.8
https://www.daraz.pk/products/otg-connector-for-connects-your-smartphone-with-a-usb-keyboard-mouse-data-usb-etc-i214536374-s1423493632.html?search=1,"OTG Connector for Connects your smartphone with a USB, Keyboard , mouse , Data USB etc",Rs. 22,(41), 4.3
https://www.daraz.pk/products/data-cable-for-android-micro-usb-25a-super-fast-charger-usb-data-cable-hi-tensile-charging-cable-for-samsung-huawei-xiaomi-mobile-phone-cables-i216527964-s1426351916.html?search=1,Data Cable for Android Micro USB 2.5A Super Fast Charger USB Data Cable Hi-Tensile Charging Cable for Samsung Huawei Xiaomi Mobile Phone Cables,Rs. 99,(49), 4.7
https://www.daraz.pk/products/ebuygenix-4-pack-of-spiral-silicone-cable-protectors-charging-cable-protector-prevent-cable-break-for-android-iphone-headphones-earphones-ipad-airpods-iwatch-mouse-silicone-flexible-cable-wire-protector-i202198972-s1401442716.html?search=1,"eBuyGenix 4 Pack of Spiral Silicone Cable Protectors Charging Cable Protector Prevent Cable Break For Android, Iphone, Headphones, Earphones, iPad, Airpods, iwatch, Mouse Silicone Flexible Cable Wire Protector",Rs. 65,(94), 4.3
https://www.daraz.pk/products/35mm-female-to-2-male-headphone-mic-audio-splitter-jack-cable-headset-adapter-kit-mutual-convertors-for-ps4xbox-one-stabletmobile-phonepc-gaming-headsets-new-version-laptop-black-and-red-i109358981-s1259546660.html?search=1,"3.5mm Female to 2 Male Headphone Mic Audio Splitter Jack Cable Headset Adapter Kit Mutual Convertors for PS4,Xbox One S,Tablet,Mobile Phone,PC Gaming Headsets New Version Laptop Black and Red",Rs. 175,(366), 4.3
https://www.daraz.pk/products/genuine-fast-charging-micro-usb-data-cable-for-huawei-and-other-android-smartphones-i143004681-s1303770977.html?search=1,Genuine Fast Charging Micro USB Data Cable for Huawei and Other Android Smartphones,Rs. 123,(564), 4.6
https://www.daraz.pk/products/microphone-and-headphone-connectorsplitterdivider-u-shape-35mm-4-pin-male-aux-to-mic-and-headset-35mm-female-jack-audio-splitterdivider-black-i206256405-s1410756365.html?search=1,Microphone and Headphone Connector/Splitter/Divider – U shape 3.5mm 4 pin male Aux to mic and headset 3.5mm female Jack audio Splitter/Divider – Black,Rs. 150,(27), 4.5
https://www.daraz.pk/products/type-c-otg-connector-ra-usb-30-to-type-c-i163968625-s1331372473.html?search=1,OTG Adapter Type C 3.0 Male to USB 3.0 Female Adapter Data USB Data Sync Adapter Type-c Converter For Samsung Macbook,Rs. 99,(105), 4.8
https://www.daraz.pk/products/30-type-c-otg-connector-ra-usb-30-to-type-c-for-mobile-and-laptop-type-c-connector-type-c-male-to-usb-female-converter-connector-i196620219-s1391768770.html?search=1,3.0 Type-C OTG Connector RA Usb 3.0 to Type C for Mobile and Laptop Type C connector Type C Male to USB Female Converter Connector,Rs. 66,(35), 4.5
https://www.daraz.pk/products/genuine-4a-oneplus-dash-type-c-cable-fast-charging-data-sync-usb-c-cable-i153934339-s1377322483.html?search=1,Genuine 4A Oneplus DASH Type C Cable Fast Charging Data Sync USB-C Cable,Rs. 299,(71), 4.9
https://www.daraz.pk/products/iphone-data-cable-usb-to-lightning-cable-3a-fast-charging-syncing-compatible-to-iphone-xs-maxx87plus6s6se5s-ipad-imported-with-heat-i-c-data-cable-for-iphone-i202080823-s1401242239.html?search=1,iPhone Data Cable USB to Lightning Cable - 3A FAST Charging & Syncing Compatible to iPhone XS Max/X/8/7/Plus/6S/6/SE/5S iPad - Imported with HEAT I-C Data Cable for iPhone,Rs. 195,(89), 4.4
https://www.daraz.pk/products/vothoon-magnetic-cable-fast-charging-cable-micro-usb-type-c-iphone-3a-fast-charging-with-data-transfer-7-pin-connector-360-degree-rotation-led-indication-1-meter-length-2-meter-length-i198436347-s1394400119.html?search=1,VOTHOON Magnetic Cable Fast Charging Cable Micro USB Type c & iPhone 3A Fast Charging With Data Transfer 7 Pin Connector 360 Degree Rotation LED Indication | 1 Meter Length | 2 Meter Length,Rs. 398,(81), 4.6
https://www.daraz.pk/products/aeytech-micro-usb-android-charging-cable-data-cable-usb-cable-for-android-samsung-huawei-xiaomi-oppo-oneplus-infinix-for-all-android-mobile-and-devices-android-data-cable-black-wire-black-cable-i201596734-s1400456470.html?search=1,AEYTECH MICRO USB ANDROID Charging Cable Data Cable USB Cable for Android Samsung Huawei Xiaomi Oppo OnePlus Infinix for all android mobile and devices android data cable– Black Wire Black Cable,Rs. 99,(79), 4.3
https://www.daraz.pk/products/2-meter-fast-charging-data-cable-l-shape-90-degree-elbow-best-for-gaming-for-iphone-55s66s77plus88plusxxs1111pro12-gold-colour-i193056146-s1406328275.html?search=1,"2 Meter Fast Charging Data Cable ( L Shape, 90 Degree , Elbow , best For Gaming  for iphone 5/5s/6/6s/7/7plus/8/8plus/x/xs/11/11pro/12 -gold colour",Rs. 275,(82), 4.9
https://www.daraz.pk/products/original-orignal-18-w-20-w-3a-2a-4a-5a-copper-wire-data-cable-for-android-phone-for-huawei_-samsung_-oppo_-htc_-xiaomi_-redmi_-infinix_-tecno_-vivo_-honor_-micro-usb-vooc-fast-charging-i171400510-s1345306333.html?search=1,"101% Original Pure Copper 3A ( Not A+,A,B) pure copper Fast Charging + Data cable(with 24 Months Replacement  Warranty)",Rs. 114,(215), 4.8
https://www.daraz.pk/products/123-meter-lightning-fast-charging-data-cable-braided-l-shape-90-degree-elbow-for-gaming-and-use-while-charging-comfortable-cable-for-iphone-black-i3176168-s1391680994.html?search=1,1/2/3 Meter Lightning Fast Charging + Data Cable  (Braided - L Shape - 90 Degree - Elbow - For Gaming And Use While Charging Comfortable Cable) For Iphone - Black,Rs. 275,(393), 4.3
https://www.daraz.pk/products/original-warner-12-meter-micro-usbtype-clightning-usb-30-fast-charging-data-cable-for-samsung-htc-infinix-xiaomi-oppo-huawei-nokia-lenovo-android-phones-black-red-i178904191-s1404860590.html?search=1,ORIGINAL Warner 1.2 Meter Micro USB/Type C/Lightning USB 3.0 Fast Charging + Data Cable For Samsung / HTC / Infinix / Xiaomi / Oppo / Huawei / Nokia / Lenovo / Android Phones - Black & Red,Rs. 129,(65), 4.4
https://www.daraz.pk/products/qualcomm-1-meter-2-meter-qc-30-micro-usb-fast-charging-cable-data-cable-sync-cable-for-samsung-htc-infinix-xiaomi-oppo-huawei-nokia-lenovo-android-phones-white-i2492090-s1317684872.html?search=1,Qualcomm 1 Meter / 2 Meter QC 3.0 Micro USB Fast Charging Cable + Data Cable / Sync Cable For Samsung / HTC / Infinix / Xiaomi / Oppo / Huawei / Nokia / Lenovo / Android Phones - White,Rs. 125,(745), 4.3
https://www.daraz.pk/products/original-warner-12-meter-micro-usb-30-fast-charging-data-cable-for-samsung-htc-infinix-xiaomi-oppo-huawei-nokia-lenovo-android-phones-black-red-i3337145-s12778679.html?search=1,ORIGINAL Warner 1.2 Meter Micro USB 3.0 Fast Charging + Data Cable For Samsung / HTC / Infinix / Xiaomi / Oppo / Huawei / Nokia / Lenovo / Android Phones - Black & Red,Rs. 199,(2059), 4.6
https://www.daraz.pk/products/magnet-charger-cable-flowing-led-light-with-magnetic-charging-pin-micro-usb-type-c-iphone-connectors-i185782751-s1371310921.html?search=1,Magnet Charger Cable Flowing Led Light with Magnetic Charging Pin Micro USB / Type C / IPhone Connectors,Rs. 399,(446), 4.9
https://www.daraz.pk/products/romoss-1-meter-type-c-usb-30-fast-charging-data-cable-for-android-phones-white-i2146178-s1300516387.html?search=1,Romoss 1 Meter Type C USB 3.0 Fast Charging + Data Cable for Android Phones - White,Rs. 175,(261), 4.7
https://www.daraz.pk/products/original-magnetic-24a-charging-360-cable-micro-usb-android-iphone-type-c-braided-led-charging-cable-black-i199434166-s1396640079.html?search=1,Original Magnetic 2.4A Charging 360 Cable - Micro USB Android - iPhone - Type C - Braided LED Charging Cable - Black,Rs. 275,(54), 4.5
https://www.daraz.pk/products/aeytech-iphone-headphone-jack-adapter-lightning-to-35mm-headphone-jack-adapter-for-iphone-headphones-adapter-to-35mm-dongle-jack-adapter-aux-cable-converter-iphone-headphones-convertor-i202828303-s1402228924.html?search=1,AEYTECH Iphone Headphone Jack Adapter LIGHTNING TO 3.5MM HEADPHONE JACK ADAPTER FOR IPHONE Headphones Adapter to 3.5mm Dongle Jack Adapter Aux Cable Converter Iphone Headphones Convertor,Rs. 258,(101), 5.0
https://www.daraz.pk/products/topk-velcro-cable-organizer-wire-winder-for-earphone-headphone-holder-mouse-charging-cable-cord-protector-storage-buckle-cable-management-1-meter-2-meter-3-meter-5-meter-i17364242-s1303940142.html?search=1,TOPK Velcro Cable Organizer Wire Winder For Earphone Headphone Holder Mouse Charging Cable Cord Protector Storage Buckle Cable Management 1 Meter  2 Meter  3 Meter  5 Meter,Rs. 85,(284), 4.4
https://www.daraz.pk/products/earphoneheadphone-35mm-audio-splitterdivider-black-i3176163-s1260796997.html?search=1,Earphone/Headphone 3.5mm Audio Splitter/Divider - Black,Rs. 49,(351), 4.4
https://www.daraz.pk/products/oneplus-dash-cable-44w-type-c-charging-cable-data-cable-red-type-c-cable-without-box-i186356645-s1414654470.html?search=1,"ONEPLUS DASH CABLE 44W TYPE C CHARGING CABLE DATA CABLE (RED) ""TYPE C CABLE (WITHOUT BOX)",Rs. 280,(294), 4.3
https://www.daraz.pk/products/pack-of-4-spiral-silicone-cable-protector-for-android-iphone-headphones-earphones-charger-mouse-keyboard-1394-i204026191-s1404446397.html?search=1,Pack of 4 - Spiral Silicone Cable Protector For Android / iPhone / Headphones / Earphones / Charger / Mouse / Keyboard 1394,Rs. 44,(31), 4.9
https://www.daraz.pk/products/micro-usb-fast-charging-data-cable-20-1-meter-100-genuine-high-speed-usb-cable-compatible-with-all-android-devices-i215135836-s1424388628.html?search=1,Micro USB Fast Charging Data Cable 2.0 1 Meter | 100% Genuine High Speed USB Cable Compatible with all Android Devices.,Rs. 111,(38), 4.9
