product url,product title,price,reviews,rating
https://www.daraz.pk/products/motorcycle-bike-universal-waterproof-dustproof-protective-motorbike-top-rain-cover-for-70cc-and-125cc-classic-models-i210892967-s1418086005.html?search=1,Motorcycle Bike Universal Waterproof Dustproof Protective Motorbike Top Rain Cover for 70cc and 125cc Classic Models,Rs. 329,(66), 4.9
https://www.daraz.pk/products/full-size-scratch-water-proof-70-125-cc-bike-cover-anti-scratch-waterproof-dust-proof-top-parking-cover-i215105983-s1424347128.html?search=1,Full Size Scratch & Water Proof 70 / 125 cc Bike COVER Anti Scratch Waterproof & Dust Proof Top Parking Cover,Rs. 361,(22), 4.8
https://www.daraz.pk/products/motorcycle-seat-heat-mesh-net-cover-sunscreen-cool-cushion-protector-sun-block-heat-insulation-mesh-pad-i147484652-s1310704446.html?search=1,Motorcycle Seat Heat Mesh Net Cover Sunscreen Cool Cushion Protector Sun Block Heat Insulation Mesh Pad,Rs. 779,(15), 4.3
https://www.daraz.pk/products/full-size-scratch-water-proof-70-125-cc-bike-cover-anti-scratch-waterproof-dust-proof-top-parking-cover-i178702371-s1355862797.html?search=1,Full Size Scratch & Water Proof 70 / 125 cc Bike COVER  Anti Scratch Waterproof & Dust Proof Top Parking Cover,Rs. 381,(80), 4.9
https://www.daraz.pk/products/ethn-water-scratch-proof-bike-top-cover-bike-accessories-parachute-with-pu-coating-lock-rings-fits-for-70cc-100cc125cc-i2294769-s10418099.html?search=1,"ETHN Water & Scratch Proof Bike Top Cover - Bike Accessories - PARACHUTE with Pu Coating, Lock Rings - Fits for 70CC, 100CC,125CC",Rs. 428,(1437), 4.8
https://www.daraz.pk/products/scratch-water-and-dust-proof-bike-top-cover-universal-i113974793-s1265718035.html?search=1,Scratch Water And Dust Proof Bike Top Cover - Universal,Rs. 299,(593), 4.3
https://www.daraz.pk/products/water-scratch-proof-full-bike-motorcycle-cover-multicolor-i127256259-s1286110841.html?search=1,Water & Scratch Proof Full Bike / Motorcycle Cover - Multicolor,Rs. 264,(618), 4.8
https://www.daraz.pk/products/pack-of-2-hd-night-day-vision-glasses-clear-view-for-driving-other-activities-unisex-i129699168-s1289487168.html?search=1,Pack Of 2 HD Night & Day Vision Glasses Clear View for Driving & Other Activities - Unisex,Rs. 299,(137), 4.7
https://www.daraz.pk/products/motercycle-cover-parachute-waterproof-bike-scratch-proof-cover-dust-rain-wind-snow-proof-windproof-universal-cd-70-honda-125-yamha-ybr125-honda-cb-250-i206164140-s1410622990.html?search=1,Motercycle cover Parachute Waterproof Bike Scratch Proof Cover Dust Rain Wind Snow Proof Windproof Universal CD 70 Honda 125  Yamha YBR125  Honda CB 250,Rs. 363,(5), 4.4
https://www.daraz.pk/products/multi-sized-water-scratch-resistant-full-bike-top-cover-motorcycle-honda-70cc-honda-125cc-suzuki-110-pridor-100-yamaha-ybr-suzuki-150-heavy-bikes-motorbike-cover-i193632355-s1387458387.html?search=1,Multi-sized Water & Scratch Resistant Full Bike Top Cover-Motorcycle - Honda 70cc - Honda 125cc-Suzuki 110-Pridor 100-yamaha YBR-suzuki 150-Heavy bikes - Motorbike cover,Rs. 349,(49), 4.3
https://www.daraz.pk/products/water-scratch-proof-full-bike-motorcycle-cover-multicolor-70cc-125cc-i208980469-s1414916536.html?search=1,Water & Scratch Proof Full Bike / Motorcycle Cover - Multicolor 70cc - 125cc,Rs. 351,(24), 4.2
https://www.daraz.pk/products/wiley-x-night-vision-yellow-glasses-for-riders-night-vision-anti-fog-driving-glasses-free-night-glass-cover-shield-eyes-from-dust-and-virus-for-night-sport-matches-i186806172-s1374800313.html?search=1,Wiley X Night Vision Yellow Glasses for Riders - Night Vision Anti Fog Driving Glasses - Free Night Glass Cover - Shield Eyes From Dust and Virus- For Night Sport Matches,Rs. 310,(34), 4.3
https://www.daraz.pk/products/mudtail-cd-70-rear-black-i2895258-s11841286.html?search=1,Mudtail Cd-70 Rear-black,Rs. 23,(21), 4.7
https://www.daraz.pk/products/premium-quality-top-cover-of-heavy-bike-all-models-all-companies-weather-resistance-waterdust-and-uv-rays-i100061574-s1045545995.html?search=1,Top Cover Of Heavy Bikes All Models All Companies,"Rs. 1,050",(54), 4.8
https://www.daraz.pk/products/engine-sticker-kit-70cc-universal-matt-black-16-pcs-sticker-kit-waterproof-with-size-vinyl-cut-stickers-i205430152-s1408994059.html?search=1,Engine Sticker Kit 70cc Universal Matt Black 16 Pcs Sticker Kit Waterproof With Size Vinyl Cut Stickers,Rs. 199,(11), 4.7
https://www.daraz.pk/products/motorcycle-cargo-net-luggage-rope-hemet-rope-i159522229-s1325958909.html?search=1,Motorcycle Cargo Net Luggage Rope | Hemet Rope,Rs. 177,(36), 4.6
https://www.daraz.pk/products/water-dust-proof-bike-cover-for-honda-cg-125-full-body-cover-scratchless-quality-i189628390-s1379896878.html?search=1,Water Dust PROOF Bike COVER for Honda CG 125 - Full Body Cover Scratchless Quality,Rs. 650,(19), 4.4
