product url,product title,price,reviews,rating
https://www.daraz.pk/products/super-quality-cotton-white-black-inner-gloves-for-bike-riders-i167926138-s1429234362.html?search=1,❤Super Quality Cotton❤  ( White / Black/ Inner 🏏 )  Gloves for Bike Rider's,Rs. 69,(45), 4.3
https://www.daraz.pk/products/hand-and-full-long-arm-sleeves-gloves-for-bikers-riders-cars-men-women-summer-special-multi-color-i179956988-s1358446258.html?search=1,Hand and Full long Arm Sleeves Gloves for Bikers Riders Cars Men Women Summer Special Multi Color,Rs. 149,(37), 4.4
https://www.daraz.pk/products/3d-fashion-mask-washable-reusable-filter-i193246416-s1401300831.html?search=1,3D Fashion Mask / Washable / Reusable,Rs. 175,(52), 4.7
https://www.daraz.pk/products/cycling-helmet-for-kids-multicolor-i134687370-s1295031527.html?search=1,Cycling Helmet For Kids - Multicolor,Rs. 495,(19), 5.0
https://www.daraz.pk/products/sports-mask-i203994802-s1404412646.html?search=1,Sports Mask,Rs. 499,(10), 4.9
https://www.daraz.pk/products/motorcycle-full-finger-touch-screen-gloves-motor-bike-gloves-i132588447-s1409974970.html?search=1,Motorcycle Full Finger Touch screen gloves motor bike gloves,Rs. 699,(46), 4.7
https://www.daraz.pk/products/for-bike-car-riders-hand-and-arm-gloves-white-black-blue-and-skin-color-i112986428-s1264646552.html?search=1,"For Bike & Car Riders - Hand and Arm Gloves - White, Black, Blue and Skin Color",Rs. 199,(59), 4.3
https://www.daraz.pk/products/mask-mouth-muffle-carbon-corona-filter-dust-haze-fog-respirator-outdoor-i192924360-s1385878228.html?search=1,Mask Mouth Muffle Carbon Corona Filter Dust Haze Fog Respirator Outdoor,Rs. 173,(2), 4.2
https://www.daraz.pk/products/cycling-mask-wind-and-dust-mask-running-anti-fog-pm25-face-towel-replaceable-filter-element-mask-i163358729-s1358206121.html?search=1,Cycling mask wind and dust mask running anti-fog PM2.5 face towel Replaceable filter element mask,Rs. 499,(67), 4.4
https://www.daraz.pk/products/biker-motorcycle-riding-half-finger-gloves-for-men-i200760426-s1399010431.html?search=1,Biker Motorcycle Riding Half Finger Gloves for Men,Rs. 599,(5), 4.5
https://www.daraz.pk/products/wfx-mens-cycling-gloves-finger-best-quality-touchscreen-foam-palm-bike-glove-i180058244-s1358640255.html?search=1,WFX Mens Cycling Gloves Finger Best Quality Touchscreen Foam Palm Bike Glove,Rs. 380,(12), 5.0
https://www.daraz.pk/products/hand-and-arm-gloves-for-bike-car-riders-white-black-color-i166718998-s1334812908.html?search=1,Hand and Arm Gloves For Bike & Car Riders - White & Black Color,Rs. 160,(6), 4.5
https://www.daraz.pk/products/kn95-face-protective-face-mask-surgical-face-mask-n95-surgical-disposable-face-mask-face-mask-disposable-face-masks-face-mask-surgical-face-mask-for-dust-medical-face-mask-kn95-face-masks-n95-mask-face-mask-covid-face-mask-for-dust-i145972109-s1308482595.html?search=1,KN95 Face Protective Face Mask (Medical Grade Quality) Imported,Rs. 179,(41), 4.3
https://www.daraz.pk/products/washable-reusable-fashion-mask-without-filter-i187980107-s1376596602.html?search=1,Washable Reusable Fashion Mask,Rs. 95,(16), 4.4
https://www.daraz.pk/products/available-stockwomenmen-outdoor-sports-cycling-face-mask-running-anti-fog-warm-mask-dust-proof-sports-mask-i163348372-s1330668199.html?search=1,"【Available Stock】Women/Men Outdoor Sports Cycling face mask, running, anti-fog, warm mask, dust-proof sports mask",Rs. 499,(24), 4.3
