product url,product title,price,reviews,rating
https://www.daraz.pk/products/audionic-yoyo-y3-mobile-speaker-portable-speaker-mini-bluetooth-speaker-sd-card-supported-usb-supported-fm-radio-best-wireless-speaker-rechargeable-speaker-i213987936-s1422709338.html?search=1,AUDIONIC YOYO Y3 MOBILE SPEAKER  PORTABLE SPEAKER  MINI BLUETOOTH SPEAKER  SD CARD SUPPORTED  USB SUPPORTED  FM RADIO  BEST WIRELESS SPEAKER  RECHARGEABLE SPEAKER,Rs. 790,(48), 4.2
https://www.daraz.pk/products/audionic-sugar-40-wireless-mobile-speaker-top-load-speaker-bluetooth-speaker-wired-mic-aux-input-usb-supported-tf-card-supported-built-in-fm-radio-karaoke-port-rechargeable-speaker-i212696547-s1420876587.html?search=1,AUDIONIC SUGAR 40 WIRELESS MOBILE SPEAKER  TOP LOAD SPEAKER   BLUETOOTH SPEAKER  WIRED MIC  AUX INPUT  USB SUPPORTED  TF CARD SUPPORTED   BUILT-IN FM RADIO  KARAOKE PORT  RECHARGEABLE SPEAKER,"Rs. 3,780",(26), 4.7
https://www.daraz.pk/products/portable-wireless-bluetooth-speaker-with-mic-black-i101758646-s1400172491.html?search=1,Portable Wireless Bluetooth Speaker With Mic - Black,"Rs. 1,599",(174), 4.8
https://www.daraz.pk/products/a10-mini-portable-metal-wireless-bluetooth-speaker-built-in-micro-sd-tf-card-slot-available-i179342549-s1357140234.html?search=1,A10 Mini Portable Metal Wireless Bluetooth Speaker Built-in Micro SD TF Card Slot available,Rs. 522,(76), 4.8
https://www.daraz.pk/products/audionic-solo-x5-coco-c7-portable-wireless-rechargeable-hifi-sound-speaker-i214324273-s1423166928.html?search=1,Audionic - SOLO X5 - Coco C7 Portable Wireless Rechargeable HIFI Sound Speaker,Rs. 750,(14), 4.2
https://www.daraz.pk/products/audionic-solo-x-9-bluetooth-mobile-speaker-usb-port-micro-sd-rechargeable-mobile-speaker-i116246768-s1268390670.html?search=1,Audionic Solo X-9 Bluetooth Mobile Speaker,"Rs. 2,400",(738), 4.3
https://www.daraz.pk/products/free-shipping-of-charge-3-mini-portable-bluetooth-speaker-with-free-earphone-black-i170542929-s1340622140.html?search=1,Free Shipping of Charge 3 Mini Portable Bluetooth Speaker With Free earphone - Black,Rs. 998,(30), 4.7
https://www.daraz.pk/products/audionicsolosolo-speakerportable-speakerspeaker-for-mobilespeakermp3-speaker-speaker-for-laptopmini-speakerbluetoothaudionic-solo-x9audionic-bluetooth-speaker-solo-x9audionic-soloaudionic-solo-x9-speakeraudionic-bluetooth-speaker-solo-i210754630-s1417842309.html?search=1,AUDIONIC SOLO X5 Mini Speaker Bluetooth Portable Speaker With One Year Official Audionic Warranty,Rs. 897,(12), 4.6
https://www.daraz.pk/products/audionic-fendi-mobile-speaker-portable-speaker-wireless-speaker-outdoor-wireless-speaker-usb-tf-card-fm-radio-rechargeable-speaker-i131879840-s1291975011.html?search=1,Audionic FENDI Bluetooth Portable Speaker / USB / T/F / Rechargeable  - Black,"Rs. 1,495",(113), 4.8
https://www.daraz.pk/products/100-original-mini-bluetooth-speaker-best-wireless-speaker-for-mobile-phone-rechargeable-speaker-i190112711-s1380788598.html?search=1,100% Original Mini Bluetooth Speaker Best Wireless Speaker for Mobile Phone Rechargeable Speaker,Rs. 626,(128), 4.9
https://www.daraz.pk/products/hotmai-ht-130-led-light-multimedia-usb-20-woofer-speaker-for-laptop-led-tv-pc-mobiles-i204958714-s1424374012.html?search=1,Hotmai HT-130 LED Light Multimedia USB 2.0 Woofer Speaker For Laptop Led Tv / PC & Mobiles,"Rs. 1,400",(11), 4.7
https://www.daraz.pk/products/portable-wireless-bluetooth-speaker-with-charging-cable-mini-charge-3-portable-wireless-bluetooth-speaker-with-free-charging-cable-black-i169660109-s1339368547.html?search=1,Portable Wireless Bluetooth Speaker with charging cable   - Black,"Rs. 1,699",(143), 4.4
https://www.daraz.pk/products/max-230-bluetooth-speakers-with-wireless-remote-i2472421-s10704788.html?search=1,Max 230 Bluetooth Speakers With Wireless Remote,"Rs. 2,900",(68), 5.0
https://www.daraz.pk/products/ws-858-mic-and-hifi-speakervoice-changer-bluetooth-speakerportable-speaker-i133155253-s1293473003.html?search=1,"WS 858 Mic and Hifi Speaker,Voice Changer, Bluetooth Speaker,Portable Speaker",Rs. 766,(2), 4.5
https://www.daraz.pk/products/audionic-bluetooth-speaker-solo-x9audionic-bluetooth-speaker-sugar-20audionic-bluetooth-speaker-sugar-7audionic-bluetooth-speaker-small-audionic-bluetooth-speaker-sugar-10audionic-speaker-solo-x-5x-5-speakeraudionic-bluetooth-speaker-solosolo-x5-i211138650-s1418388299.html?search=1,Audionic - Solo X5 - Premium Bluetooth Speaker - Deep Bass / HIFI Sound - Portable Mini Speaker - 1 Year Brand Warranty,"Rs. 1,050",(1), 4.5
https://www.daraz.pk/products/mini-portable-stereo-wireless-bluetooth-speaker-with-mic-music-player-loudspeaker-hands-free-calls-i149020167-s1312862388.html?search=1,Mini Portable Stereo Wireless Bluetooth Speaker With Mic Music Player Loudspeaker Hands Free Calls,Rs. 854,(40), 4.9
https://www.daraz.pk/products/mr-loud-orignal-bluetooth-speaker-wireless-super-bass-portable-long-lasting-rechargeable-battery-i213740521-s1422356025.html?search=1,Mr Loud Orignal Bluetooth Speaker wireless Super Bass Portable Long Lasting Rechargeable Battery,"Rs. 1,050",(4), 4.2
