product url,product title,price,reviews,rating
https://www.daraz.pk/products/stainless-steel-double-wall-vacuum-thermos-bottle-insulated-thermal-flask-travel-coffee-mug-for-hot-cold-drinks-500-ml-i190234725-s1413706011.html?search=1,Stainless Steel Double Wall Vacuum Thermos Bottle Insulated Thermal Flask Travel Coffee Mug for Hot Cold Drinks (500 ML ),Rs. 929,(110), 4.5
https://www.daraz.pk/products/19l-litre-water-bottle-nozzle-valve-tap-for-large-19-liter-ltr-drinking-water-bottles-large-water-bottle-nozzle-good-quality-bottled-water-19-ltr-dispenser-19-l-faucet-crown-cap-55mm-20-litter-botle-cap-nozzel-nozel-nozle-white-i178612634-s1355748456.html?search=1,19L Litre Water Bottle Nozzle - Valve - Tap for Large 19 Liter Ltr Drinking Water Bottles - Large Water Bottle Nozzle - Good Quality Bottled Water 19 Ltr. Dispenser - 19 L Faucet Crown Cap 55mm ~20 Litter botle cap nozzel - Nozel - Nozle - White,Rs. 181,(73), 4.2
https://www.daraz.pk/products/hot-water-bagbottle-natural-rubber-large-size-2ltr-capacity-i114808366-s1266628810.html?search=1,HOT WATER Bag/Bottle Natural Rubber  - Large Size 2ltr capacity,Rs. 290,(242), 4.7
https://www.daraz.pk/products/19-liter-drinking-water-bottle-lifter-painless-holder-i175418425-s1348292675.html?search=1,19 Liter Drinking Water Bottle Lifter Painless Holder,Rs. 89,(80), 5.0
https://www.daraz.pk/products/multi-purpose-air-pump-cycle-pump-football-pump-i101298657-s1246783235.html?search=1,Multi Purpose Air Pump - Cycle Pump Football Pump,Rs. 230,(52), 4.4
https://www.daraz.pk/products/high-quality-bottled-water-tap-dispenser-i143070169-s1303882833.html?search=1,High Quality Bottled Water Tap Dispenser,Rs. 159,(77), 4.8
https://www.daraz.pk/products/hydro-safe-manual-drinking-water-pump-white-blue-i105944234-s1253584611.html?search=1,Hydro ~ Safe Drinking Water Pump - White & Blue,Rs. 559,(145), 4.5
https://www.daraz.pk/products/sports-water-bottle-large-capacity-gym-bottle-apollo-asgb-30-22-litters-i101176171-s1246612249.html?search=1,SPORTS WATER BOTTLE LARGE CAPACITY GYM BOTTLE APOLLO WB-25 - 2.2 LITTERS,Rs. 850,(259), 4.9
https://www.daraz.pk/products/water-bottle-steel-hotcold-with-leather-bag-i182210372-s1363482457.html?search=1,Water Bottle Steel Hot&Cold with leather bag,Rs. 679,(18), 4.6
https://www.daraz.pk/products/shaker-bottle-protein-milkshake-blender-cup-mixing-ball-sport-water-bottle-shake-gym-smart-leak-proof-drinkware-i132751824-s1292987831.html?search=1,Shaker Bottle Protein Milkshake Blender Cup Mixing Ball Sport Water Bottle Shake Gym Smart Leak Proof Drinkware,Rs. 700,(109), 4.6
https://www.daraz.pk/products/smart-water-bottle-bpa-free-plastic-with-stainless-steel-cap-500ml-for-school-college-university-office-sports-gym-travel-i171886662-s1342950355.html?search=1,Smart Water Bottle BPA Free Plastic With Stainless Steel Cap 500ml for School College University Office Sports Gym Travel,Rs. 179,(11), 5.0
