product url,product title,price,reviews,rating
https://www.daraz.pk/products/mi-box-s-mdz22ab-built-in-chromecast-android-4k-ultra-hd-hdr-smart-tv-google-assistant-black-i131281838-s1291194362.html?search=1,Mi Box S - MDZ22AB - Built-in ChromeCast - Android - 4K Ultra HD+ HDR - Smart TV - Google Assistant (Black),"Rs. 10,199",(237), 5.0
https://www.daraz.pk/products/latest-android-tv-box-4k-x96q-2gb16gb-android-10-2020-model-i149886719-s1313962507.html?search=1,Latest Android TV Box 4K - X96Q - 2GB+16GB - Android 10 (2020 Model),"Rs. 3,699",(54), 4.5
https://www.daraz.pk/products/smart-android-tv-box-t9-4gb64gb-android-10-4k-i196874876-s1392184199.html?search=1,Smart Android TV Box - T9 - 4GB+64GB - Android 10 - 4K,"Rs. 5,999",(35), 5.0
https://www.daraz.pk/products/10pcs-heat-shrink-film-clear-video-tv-air-condition-remote-control-protector-cover-home-waterproof-protective-case-new-i201548628-s1400374832.html?search=1,10Pcs Heat Shrink Film Clear Video TV Air Condition Remote Control Protector Cover Home Waterproof Protective Case New,Rs. 200,(14), 5.0
https://www.daraz.pk/products/ugreen-hdmi-to-hdmi-cable-premium-high-speed-hdmi-male-to-male-20-monitor-video-cable-with-18gbps-3d-4k-hdr-60hz-ethernet-and-audio-return-compatible-for-playstation-4-nintendo-switch-splitter-gaming-device-i170170351-s1340088281.html?search=1,UGREEN HDMI to HDMI Cable Premium High Speed HDMI Male to Male 2.0 Monitor Video Cable with 18Gbps 3D 4K HDR 60Hz Ethernet and Audio Return Compatible for Playstation 4 Nintendo Switch Splitter Gaming Device,Rs. 749,(94), 4.8
https://www.daraz.pk/products/branded-display-port-30v-vw-i-dp-male-to-male-cable-awm-18-meters-20276-i205308958-s1429992080.html?search=1,Branded Display Port 30V VW-I DP Male to Male Cable AWM 1.8 Meters 20276,Rs. 349,(18), 4.6
https://www.daraz.pk/products/x96q-2gb16gb-android-10-4k-smart-android-tv-box-i147160446-s1310258339.html?search=1,X96Q - 2GB+16GB - Android 10 - 4K - Smart Android Tv Box,"Rs. 3,869",(528), 4.6
https://www.daraz.pk/products/hdmi-cable-15-meter-standard-hdmi-cable-male-to-male-hdmi-plug-video-cable-version-14-black-i2484166-s1294975217.html?search=1,HDMI Cable 1.5 Meter Standard HDMI Cable - Male to Male - HDMI Plug Video Cable Version 1.4 - Black,Rs. 99,(355), 4.8
https://www.daraz.pk/products/hdmi-cable-round-15-meter-and-available-in-3-meter-5-meter-10-meter-15-meter-20-meter-25-meter-30-meter-clear-crystal-display-i108736623-s1258274971.html?search=1,HDMI Cable Round 1.5 Meter And Available in 3 Meter 5 Meter 10 Meter 15 Meter 20 Meter 25 Meter 30 Meter Clear Crystal Display,Rs. 169,(479), 4.7
https://www.daraz.pk/products/tcl-remote-for-s6500-smart-android-led-tv-with-netflex-button-i114348023-s1266108556.html?search=1,TCL Remote for S6500 Smart Android LED TV with NETFLEX Button,Rs. 549,(124), 4.6
https://www.daraz.pk/products/hdmi-round-cable-15m-braided-i181830592-s1421566007.html?search=1,HDMI Round Cable 1.5m Braided,Rs. 139,(90), 4.3
https://www.daraz.pk/products/original-xiaomi-mi-tv-stick-mi-box-4k-global-verison-i146892877-s1423163657.html?search=1,Original Xiaomi Mi Tv Stick / MI BOX 4K -Global Verison,"Rs. 9,490",(71), 4.9
https://www.daraz.pk/products/universal-remote-for-all-samsung-lcd-led-tv-i114846919-s1266686617.html?search=1,Universal Remote For ALL Samsung LCD & LED TV,Rs. 199,(288), 5.0
https://www.daraz.pk/products/samsung-remote-for-led-lcd-tv-i148104228-s1311624795.html?search=1,SAMSUNG Remote For LED & LCD TV,Rs. 249,(143), 4.4
https://www.daraz.pk/products/new-voice-remote-control-for-hitachi-tcl-smart-tv-new-original-rc802v-fmr1-remote-control-for-tcl-tv-65p8s-49s6800fs-49s6510fs-i209324061-s1415518313.html?search=1,New Voice Remote Control for Hitachi TCL Smart TV - NEW Original RC802V FMR1 Remote Control For TCL TV 65P8S 49S6800FS 49S6510FS,"Rs. 1,975",(18), 4.5
https://www.daraz.pk/products/mini-i8-wireless-backlit-24ghz-touchpad-keyboard-air-mouse-for-tv-box-mini-pc-black-i3840447-s14581555.html?search=1,MINI I8 Wireless Backlit 2.4GHz Touchpad Keyboard Air Mouse For TV Box MINI PC - Black,Rs. 745,(178), 4.8
https://www.daraz.pk/products/hdmi-cable-high-speed-1080p-2k-4k-hdmi-cable-ultra-hd-version-20-high-definition-multimedia-interface-premium-quality-15-meter-3-meter-5-meter-10-meter-i143086153-s1303890549.html?search=1,HDMI Cable High Speed 1080P 2K 4K Hdmi Cable Ultra HD Version 2.0 High Definition Multimedia Interface Premium Quality 1.5 Meter / 3 Meter / 5 Meter / 10 Meter,Rs. 640,(83), 4.7
https://www.daraz.pk/products/tcl-lcd-led-tv-high-quality-remote-control-universal-i195168765-s1389852773.html?search=1,TCL LCD / LED TV High Quality Remote Control Universal,Rs. 299,(13), 4.6
https://www.daraz.pk/products/x96q-smart-tv-box-android-100-set-top-box-digital-tv-converter-memory-size-2g16g-smart-box-x96q-mini-quad-core-2g16g-4k-60fps-andriod-10v-i184476048-s1368868001.html?search=1,X96Q Smart Tv Box Android 10.0 Set - Top Box Digital TV Converter Memory Size: 2G+16G - Smart Box X96Q Mini Quad Core 2g+16g 4K 60FPS ANDRIOD 10V,"Rs. 3,699",(89), 4.3
https://www.daraz.pk/products/universal-remote-for-ptcl-smart-tv-box-i116646967-s1268814177.html?search=1,Universal Remote for PTCL Smart TV Box,Rs. 349,(137), 4.9
