product url,product title,price,reviews,rating
https://www.daraz.pk/products/transparent-bags-for-girls-hand-bags-for-women-unique-shoulder-cross-body-bag-i182284447-s1429950750.html?search=1,Transparent Bags for Girls Hand Bags for Women Unique Shoulder Cross Body Bag,"Rs. 1,100",(25), 4.6
https://www.daraz.pk/products/hand-bag-for-girls-imported-thai-quality-western-look-hand-bags-for-girls-stylish-new-2021-shoulder-hand-bags-for-women-girls-ladies-bags-in-sale-i211832239-s1419374985.html?search=1,"Hand Bag for Girls, Imported Thai Quality Western look Hand Bags for Girls Stylish New 2021, Shoulder Hand Bags for Women, Girls, Ladies Bags in Sale",Rs. 799,(18), 4.2
https://www.daraz.pk/products/long-latest-design-pu-leather-money-and-mobile-wallet-purse-for-ladies-and-gents-long-men-wallet-men-leather-wallet-women-leather-purse-wallet-for-men-boys-girls-women-unisex-wallet-purse-i170882760-s1342434827.html?search=1,"Long Latest Design PU Leather Money and Mobile Wallet & Purse for Ladies and Gents, Long Men Wallet, Men Leather Wallet, Women Leather Purse, Wallet for men, boys, girls, women, Unisex Wallet & Purse",Rs. 379,(21), 4.4
https://www.daraz.pk/products/imported-ladies-wallets-stylish-pu-leather-wallets-for-daily-use-hand-purses-for-girls-wallet-for-shopping-and-casual-i110276955-s1268758809.html?search=1,Imported Ladies Wallets Stylish PU Leather Wallets for Daily Use Hand Purses for Girls Wallet for Shopping and Casual,Rs. 399,(29), 4.9
https://www.daraz.pk/products/new-ladies-women-cute-zipper-purse-pu-leather-wallets-mini-womens-wallet-card-holder-small-bag-coin-pouch-pocket-new-style-clutch-with-bear-tassel-soft-sequined-lady-short-purses-female-hand-clutch-handbag-for-gifts-multicolor-i207180757-s1411986149.html?search=1,New Fashion Cute Women Zipper Purse Girls Short Wallet PU Leather Cherry Embroidery Coin Purse Card Holders Lady Girl Mini Money Bag Female Foreign Trade Wallet Zipper Wallet Card Case Clutch Purse For Students Zipper Bag,Rs. 285,(32), 4.9
https://www.daraz.pk/products/latest-design-handbag-for-women-i128762800-s1423901517.html?search=1,Latest Design Handbag For Women,Rs. 799,(180), 4.7
https://www.daraz.pk/products/women-bag-rhombic-lattice-chain-small-crossbody-bags-leisure-fashion-pu-leather-mini-tote-handbags-messenger-bag-i179618665-s1432751556.html?search=1,Women Bag Rhombic Lattice Chain Small Crossbody Bags Leisure Fashion PU Leather Mini Tote Handbags Messenger bag,"Rs. 1,049",(103), 4.9
https://www.daraz.pk/products/ayesha-purse-kids-voilet-for-girls-i142894958-s1397048947.html?search=1,Ayesha Purse Kids Voilet For Girls,Rs. 259,(104), 4.8
https://www.daraz.pk/products/new-arrival-cute-mini-wallet-for-girls-women-small-cute-wallet-i151898280-s1316222766.html?search=1,New Arrival cute mini wallet for girls women small cute wallet,Rs. 399,(85), 4.9
https://www.daraz.pk/products/ayesha-purse-famous-top-womens-shoulder-bag-stylishfashionabel-crossbody-bag-hand-bag-latest-design-for-party-use-women-fashion-point-handbag-quality-hand-bag-i178294926-s1425081615.html?search=1,Ayesha Purse Luxury Woman's Handbag Fashion Pu Leather Shoulder Bags Famous Designer Brand Woman Handbags Square,Rs. 549,(80), 4.7
